Origin,question_options,answer_corr,data_source_corr,New_Sentences
ID0589,"What Is Your Diagnosis?

A: Pseudoxanthoma elasticum  
B: Inherited cutis laxa syndrome  
C: Pseudoxanthoma elasticum–like disorder with coagulation deficiency  
D: Pseudoxanthoma elasticum/pseudoxanthoma elasticum–like overlap syndrome",C,jama,"Coagulation-related tests indicated a low clotting activity of factor X (52.2%; reference range, 77%-131%) and a prolonged prothrombin time (12.8 seconds; reference range, 10.4-12.6 seconds) A skin biopsy specimen was obtained from her neck for histopathologic examination (Figure, B).A, Clinical image of the neck, axillae, and abdomen However, her younger sister had developed the same skin symptoms."
ID0021,"What Would You Do Next?

A: Obtain a corneal culture  
B: Human immunodeficiency virus testing and lymphocyte analysis  
C: Discontinue oral acyclovir and start topical trifluridine  
D: Perform corneal topography",B,jama,"The findings of the remainder of the examination, including the anterior segment of the right eye and the dilated fundus examination of both eyes, were unremarkable.Slitlamp photograph showing branching corneal pseudodendrites with minimal fluorescein uptake Visual fields were full in both eyes."
ID1148,"What Is Your Diagnosis?

A: Cutaneous T-cell lymphoma (mycosis fungoides [MF])  
B: Scleromyxedema  
C: Lepromatous leprosy  
D: Scleroderma",B,jama,"During clinical evaluation, he denied cough, shortness of breath, chest pain, Raynaud phenomenon, fevers, night sweats, weight loss, seizures, or confusion.Physical examination revealed diffuse skin-colored to pink papules coalescing into plaques on the entire face, with exaggerated skin folds of the forehead (Figure, A), glabella, periocular regions, and superior cutaneous lip D, Hematoxylin-eosin and Alcian blue stain image featuring mucin deposition in the reticular dermis.Notable laboratory results included a normal level of thyroid-stimulating hormone, macrocytic anemia, normal creatinine and calcium levels, and a monoclonal spike on a serum protein electrophoresis test Skin sensation was intact.A, Clinical image of the exaggerated skin folds of the forehead and glabella."
ID0395,"What Would You Do Next?

A: Order magnetic resonance imaging of the orbit  
B: Refer to oncology for metastatic workups  
C: Start oral prednisone therapy  
D: Schedule transscleral or transvitreal biopsy",C,jama,"A- and B-scan ultrasonography demonstrated a choroidal mass with moderate internal reflectivity.An elevated whitish lesion is noted in the superotemporal quadrant of the right eye, associated with subretinal fluid at the fovea Her visual acuity was 20/200 OD and 20/20 OS."
ID0769,"What Would You Do Next?

A: Perform a skin biopsy with indirect immunofluorescence  
B: Obtain serum antinuclear antibody and lupus anticoagulant assay  
C: Obtain a bacterial culture of the skin lesions  
D: Obtain a urine drug screen",B,jama,"Laboratory findings showed a white blood cell count of 7700 cells/µL (neutrophils, 82.4%; lymphocytes, 10.6%; monocytes, 6%; eosinophils, 0.2%; basophils, 0.8%), hemoglobin level of 9.0 g/dL (mean corpuscular volume, 84 fL), platelet count of 151 ×103/µL, partial thromboplastin time of 61 seconds (reference range, 22-32), and an international normalized ratio (INR) of 1.4 Blood cultures were drawn and empirical antibiotics begun.Obtain serum antinuclear antibody and lupus anticoagulant assayObtain a bacterial culture of the skin lesions A 22-year-old woman with no significant medical history presented with a 2-month history of fevers, shortness of breath, and right-sided pleuritic chest pain."
ID0809,"What Would You Do Next?

A: Start diuretic, β-blocker, and angiotensin-converting enzyme inhibitor  
B: Start diuretic, implant cardioverter defibrillator, and evaluate for cardiac transplantation  
C: Discontinue flecainide, start amiodarone and warfarin  
D: Proceed with electrophysiology study and AF ablation",B,jama,"aVF indicates augmented vector foot; aVL indicates augmented vector left arm; and aVR indicates augmented vector right arm.Start diuretic, implant cardioverter defibrillator, and evaluate for cardiac transplantation Transthoracic echocardiogram revealed normal ventricular dimensions and systolic function with biatrial dilatation (left > right) (Figure 1B), dilated pulmonary veins, and abnormal diastolic filling Pericardium was of normal thickness.A, Electrocardiogram demonstrating prominent and biphasic P-wave and ST-T segment abnormalities B, Four-chamber view of transthoracic echocardiogram."
ID1150,"What Would You Do Next?

A: Computed tomographic scan of the orbits with contrast  
B: Myasthenia gravis testing  
C: Referral for strabismus surgery  
D: Thyroid function testing",A,jama,"A 3.5-mm left enophthalmos was noted compared with the right side, and there was hollowing of the left superior sulcus Testing of cranial nerves V and VII were unremarkable.Computed tomographic scan of the orbits with contrast An ophthalmologic examination revealed a visual acuity of 20/25 OD and 20/30 OS."
ID0199,"What Would You Do Next?

A: Topical apraclonidine test  
B: Urgent MRI  
C: Offer carbamazepine and routine MRI  
D: Extraocular muscle surgery",C,jama,"A magnetic resonance imaging (MRI) from 1 year prior showed a small amount of residual tumor within the right cavernous sinus, stable over years (Figure, C).Beginning of dialog window We noted 3 mm of relative right upper eyelid ptosis and anisocoria (3 mm OD and 4.5 mm OS in ambient lighting) This modal can be closed by pressing the Escape key or activating the close button.A, Right eye esotropia after voluntary leftward gaze Pupils were round and reactive with no afferent pupillary defect."
ID1032,"What Would You Do Next?

A: Increase topical steroids  
B: Inject intravitreal antibiotics  
C: Perform vitrectomy  
D: Inject antifungal drug",A,jama,"Extensive strands and veils were noted throughout the vitreous cavity (Figure 1).Anterior vitreous cavity (A) and wide-field fundus photograph (B) of the left eye demonstrating extensive transvitreal strands and sheets On examination, visual acuity  was counting fingers OD and 20/200 OS A man in his 50s with a history of poorly controlled type 2 diabetes reported decreased vision in both eyes."
ID0278,"What Is Your Diagnosis?

A: Mesenteric cyst  
B: Gastric duplication cyst  
C: Pancreatic pseudocyst  
D: Walled-off pancreatic necrosis",C,jama,"His serum amylase level was 487 U/L (normal range, 28-100 U/L [to convert to microkatals per liter, multiply by 0.0167]) A young adult presented with a progressively growing abdominal lump that left him feeling a dull ache and heavy."
