QA_ID,Origin,data_source,Raw_Response,Original,Physician_Removed,answer_corr
Merge Q2,ID0003,medxpert,Answer: D,G,D,G
Merge Q9,ID0017,jama,Answer: D,C,D,C
Merge Q23,ID0043,jama,Answer: B,C,B,C
Merge Q57,ID0093,jama,Answer: A,C,A,C
Merge Q61,ID0098,mmlu,Answer: C,D,C,D
Merge Q108,ID0169,jama,Answer: A,B,A,B
Merge Q110,ID0172,jama,Answer: C,D,C,D
Merge Q147,ID0241,jama,Answer: D,A,D,A
Merge Q159,ID0257,jama,Answer: C,B,C,B
Merge Q171,ID0284,medxpert,Answer: F,I,F,I
Merge Q179,ID0296,jama,Answer: B,C,B,C
Merge Q197,ID0323,jama,Answer: A,D,A,D
Merge Q199,ID0325,medbullets,Answer: C,B,C,B
Merge Q215,ID0353,medxpert,Answer: A,H,A,H
Merge Q246,ID0404,jama,Answer: A,D,A,D
Merge Q268,ID0442,jama,Answer: C,D,C,D
Merge Q269,ID0444,jama,Answer: B,C,B,C
Merge Q284,ID0467,jama,Answer: B,C,B,C
Merge Q302,ID0494,jama,Answer: B,C,B,C
Merge Q315,ID0513,jama,Answer: A,B,A,B
Merge Q328,ID0532,medxpert,Answer: A,B,A,B
Merge Q339,ID0552,jama,Answer: D,C,D,C
Merge Q362,ID0590,jama,Answer: B,D,B,D
Merge Q367,ID0596,jama,Answer: B,A,B,A
Merge Q372,ID0602,jama,Answer: C,D,C,D
Merge Q397,ID0639,jama,Answer: D,B,D,B
Merge Q416,ID0668,medxpert,Answer: C,H,C,H
Merge Q424,ID0679,medbullets,Answer: B,A,B,A
Merge Q447,ID0715,medbullets,Answer: C,B,C,B
Merge Q449,ID0717,medxpert,Answer: J,B,J,B
Merge Q455,ID0728,medbullets,Answer: B,C,B,C
Merge Q459,ID0734,jama,Answer: B,D,B,D
Merge Q468,ID0747,jama,Answer: A,D,A,D
Merge Q473,ID0757,mmlu,Answer: A,B,A,B
Merge Q506,ID0802,mmlu,Answer: B,D,B,D
Merge Q509,ID0809,jama,Answer: C,B,C,B
Merge Q521,ID0827,medxpert,Answer: H,C,H,C
Merge Q541,ID0852,medbullets,Answer: D,A,D,A
Merge Q542,ID0853,medbullets,Answer: D,B,D,B
Merge Q569,ID0895,jama,Answer: B,C,B,C
Merge Q572,ID0901,medbullets,Answer: A,B,A,B
Merge Q582,ID0915,jama,Answer: A,C,A,C
Merge Q586,ID0922,medxpert,Answer: F,I,F,I
Merge Q590,ID0926,medxpert,Answer: C,A,C,A
Merge Q615,ID0973,jama,Answer: C,D,C,D
Merge Q617,ID0976,jama,Answer: B,A,B,A
Merge Q620,ID0981,jama,Answer: A,C,A,C
Merge Q625,ID0992,medxpert,Answer: A,B,A,B
Merge Q640,ID1016,jama,Answer: A,D,A,D
Merge Q644,ID1021,jama,Answer: C,A,C,A
Merge Q656,ID1040,jama,Answer: A,D,A,D
Merge Q665,ID1060,jama,Answer: A,C,A,C
Merge Q668,ID1064,mmlu,Answer: C,A,C,A
Merge Q685,ID1084,jama,Answer: A,D,A,D
Merge Q707,ID1125,medxpert,Answer: J,A,J,A
Merge Q708,ID1127,jama,Answer: B,C,B,C
Merge Q717,ID1140,jama,Answer: D,C,D,C
Merge Q723,ID1149,jama,Answer: A,D,A,D
Merge Q743,ID1175,jama,Answer: D,A,D,A
Merge Q759,ID1198,jama,Answer: B,C,B,C
Merge Q761,ID1200,medbullets,Answer: A,C,A,C
Merge Q806,ID1264,jama,Answer: D,C,D,C
Merge Q824,ID1286,jama,Answer: C,B,C,B
Merge Q832,ID1297,mmlu,Answer: A,B,A,B
Merge Q837,ID1303,jama,Answer: A,C,A,C
Merge Q857,ID1333,medxpert,Answer: B,C,B,C
Merge Q871,ID1350,jama,Answer: D,A,D,A
Merge Q887,ID1376,jama,Answer: D,A,D,A
Merge Q899,ID1391,jama,Answer: C,D,C,D
Merge Q907,ID1401,jama,Answer: A,C,A,C
Merge Q915,ID1416,jama,Answer: C,B,C,B
Merge Q916,ID1418,mmlu,Answer: A,D,A,D
Merge Q926,ID1431,jama,Answer: B,A,B,A
Merge Q934,ID1448,medxpert,Answer: H,B,H,B
Merge Q937,ID1452,medbullets,Answer: B,D,B,D
Merge Q944,ID1462,medxpert,Answer: B,A,B,A
Merge Q961,ID1488,medbullets,Answer: A,D,A,D
Merge Q993,ID1538,jama,Answer: D,B,D,B
Merge Q996,ID1541,medbullets,Answer: D,B,D,B
Merge Q1008,ID1560,jama,Answer: B,D,B,D
Merge Q1029,ID1588,jama,Answer: A,D,A,D
Merge Q1049,ID1632,medbullets,Answer: B,C,B,C
Merge Q1051,ID1634,medbullets,Answer: D,A,D,A
Merge Q1060,ID1651,jama,Answer: A,B,A,B
Merge Q1090,ID1693,medbullets,Answer: A,C,A,C
Merge Q1099,ID1702,jama,Answer: D,C,D,C
Merge Q1103,ID1711,jama,Answer: A,C,A,C
Merge Q1109,ID1717,medxpert,Answer: E,A,E,A
Merge Q1116,ID1732,jama,Answer: A,D,A,D
Merge Q1128,ID1755,medxpert,Answer: G,B,G,B
Merge Q1147,ID1783,medxpert,Answer: B,J,B,J
Merge Q1175,ID1825,medxpert,Answer: A,H,A,H
Merge Q1187,ID1840,medxpert,Answer: F,D,F,D
Merge Q1189,ID1842,jama,Answer: A,B,A,B
Merge Q1197,ID1851,mmlu,Answer: B,D,B,D
Merge Q1214,ID1876,jama,Answer: C,A,C,A
Merge Q1220,ID1887,jama,Answer: B,C,B,C
Merge Q1231,ID1902,jama,Answer: A,C,A,C
Merge Q1240,ID1913,medxpert,Answer: D,E,D,E
Merge Q1244,ID1919,medbullets,Answer: A,C,A,C
Merge Q1255,ID1937,jama,Answer: A,B,A,B
Merge Q1258,ID1941,medxpert,Answer: B,F,B,F
Merge Q1260,ID1945,medbullets,Answer: A,B,A,B
Merge Q1280,ID1974,medbullets,Answer: B,C,B,C
