ID_corr,separate_relevant,combined_relevant,delta,combined_more_relevance
ID0542,0.0,5,5.0,True
ID0546,0.0,4,4.0,True
ID0872,0.0,0,0.0,False
ID0115,0.0,2,2.0,True
ID1318,0.0,3,3.0,True
7066,0.0,1,1.0,True
ID0320,0.0,0,0.0,False
ID1629,0.0,3,3.0,True
ID1452,0.0,2,2.0,True
ID1234,0.0,0,0.0,False
ID0435,0.0,0,0.0,False
ID1185,0.0,1,1.0,True
ID1601,0.0,0,0.0,False
ID1409,0.0,2,2.0,True
ID1212,0.0,0,0.0,False
ID0417,0.0,6,6.0,True
ID1413,0.0,3,3.0,True
ID1507,0.0,0,0.0,False
ID0626,0.0,0,0.0,False
7050,0.0,0,0.0,False
ID1252,0.0,2,2.0,True
ID1334,0.0,0,0.0,False
ID0081,0.0,0,0.0,False
ID0301,0.0,0,0.0,False
ID0455,0.0,0,0.0,False
ID0699,0.0,0,0.0,False
ID0529,0.0,4,4.0,True
ID0513,0.0,1,1.0,True
ID1068,0.0,0,0.0,False
ID1755,0.0,2,2.0,True
ID1362,0.0,0,0.0,False
ID0887,0.0,1,1.0,True
ID0025,0.0,1,1.0,True
ID0302,0.0,0,0.0,False
ID0752,0.0,2,2.0,True
ID1786,0.0,0,0.0,False
ID0098,0.0,0,0.0,False
ID0912,0.0,0,0.0,False
ID1893,0.0,0,0.0,False
ID0129,0.0,0,0.0,False
ID1946,0.0,3,3.0,True
7033,0.0,0,0.0,False
ID0405,0.0,0,0.0,False
ID1135,0.0,0,0.0,False
ID0737,0.0,2,2.0,True
ID0907,0.0,0,0.0,False
ID0466,0.0,0,0.0,False
ID1190,0.0,0,0.0,False
ID0336,0.0,0,0.0,False
ID1032,0.0,0,0.0,False
ID1089,0.0,1,1.0,True
ID1450,0.0,0,0.0,False
ID0315,0.0,2,2.0,True
ID1824,0.0,2,2.0,True
ID0627,0.0,0,0.0,False
ID0601,0.0,2,2.0,True
ID1426,0.0,0,0.0,False
ID0113,0.0,0,0.0,False
ID1583,0.0,0,0.0,False
7073,0.0,0,0.0,False
7096,0.0,0,0.0,False
ID0133,0.0,0,0.0,False
ID1856,0.0,0,0.0,False
ID1701,0.0,1,1.0,True
ID1108,0.0,0,0.0,False
ID1940,0.0,1,1.0,True
ID1492,0.0,0,0.0,False
ID1138,0.0,2,2.0,True
7018,0.0,0,0.0,False
ID0409,0.0,0,0.0,False
ID0003,0.0,3,3.0,True
ID0496,0.0,2,2.0,True
ID1496,0.0,0,0.0,False
ID1112,0.0,3,3.0,True
ID1423,0.0,2,2.0,True
ID0965,0.0,1,1.0,True
ID0184,0.0,2,2.0,True
ID0400,0.0,2,2.0,True
ID0974,0.0,0,0.0,False
ID1199,0.0,0,0.0,False
7038,0.0,0,0.0,False
ID0309,0.0,0,0.0,False
ID0732,0.0,0,0.0,False
7055,0.0,0,0.0,False
ID0447,0.0,0,0.0,False
ID0854,0.0,1,1.0,True
ID0695,0.0,2,2.0,True
ID0099,0.0,3,3.0,True
ID0842,0.0,1,1.0,True
ID1474,0.0,0,0.0,False
ID1987,0.0,0,0.0,False
ID1617,0.0,0,0.0,False
ID1388,0.0,0,0.0,False
ID1557,0.0,0,0.0,False
ID1996,0.0,1,1.0,True
ID1724,0.0,3,3.0,True
ID1204,0.0,3,3.0,True
ID1991,0.0,2,2.0,True
ID0045,0.0,0,0.0,False
ID0543,0.0,2,2.0,True
ID1843,0.0,1,1.0,True
ID1062,0.0,0,0.0,False
ID1125,0.0,3,3.0,True
ID1348,0.0,1,1.0,True
ID0368,0.0,0,0.0,False
ID0246,0.0,0,0.0,False
ID0684,0.0,1,1.0,True
ID1149,0.0,0,0.0,False
ID1333,0.0,2,2.0,True
ID0148,0.0,0,0.0,False
ID0924,0.0,0,0.0,False
ID1336,0.0,1,1.0,True
ID1378,0.0,4,4.0,True
ID0438,0.0,2,2.0,True
7049,0.0,0,0.0,False
ID1653,0.0,0,0.0,False
ID1439,0.0,2,2.0,True
ID1345,0.0,3,3.0,True
ID0517,0.0,3,3.0,True
ID0135,0.0,0,0.0,False
ID1289,0.0,9,9.0,True
ID0672,0.0,0,0.0,False
ID0291,0.0,0,0.0,False
ID0106,0.0,2,2.0,True
ID1468,0.0,6,6.0,True
ID1314,0.0,0,0.0,False
ID0044,0.0,0,0.0,False
7024,0.0,0,0.0,False
7042,0.0,0,0.0,False
ID0949,0.0,4,4.0,True
ID1394,0.0,5,5.0,True
ID1063,0.0,0,0.0,False
