Score,Source,row_index,QA_ID,Extracted_Answer
8.398297082384197,"The patient also reports difficulty seeing out of his right eye, which he attributes to excessive tearing.",213,MedBullets df_op4 Q214,
8.311436031626961,"Upon physical examination, the right pupil is minimally responsive to light and the globe feels firm.",213,MedBullets df_op4 Q214,
7.564261212449793,He reports that he was rocking his grandson to sleep when the symptoms began.,213,MedBullets df_op4 Q214,
5.7760162353515625,He states the pain is constant and is primarily located on his right side.,213,MedBullets df_op4 Q214,
3.5317961896317582,A 64-year-old man presents to the emergency room with a headache and nausea.,213,MedBullets df_op4 Q214,
3.2328839817687958,"His temperature is 98.6°F (37°C), blood pressure is 135/91 mmHg, pulse is 72/min, and respirations are 12/min.",213,MedBullets df_op4 Q214,
2.6199064465139266,"When asked to indicate the area of pain, he says that it surrounds his eye and upper forehead.",213,MedBullets df_op4 Q214,
0.0,A right-sided carotid bruit is appreciated.,213,MedBullets df_op4 Q214,
0.0,The patient’s right eye is shown in Figure A.,213,MedBullets df_op4 Q214,
-0.0,He had one episode of vomiting.,213,MedBullets df_op4 Q214,
-0.0,His medications include hydrochlorothiazide.,213,MedBullets df_op4 Q214,
-0.0,The patient’s past medical history is significant for hypertension.,213,MedBullets df_op4 Q214,
