Origin,data_source,Round 1,Round 2,Ground_Truth_Answer
ID0002,jama,B,A,D
ID0003,medxpert,H,A,C
ID0007,medbullets,A,D,D
ID0009,jama,A,D,C
ID0010,medxpert,H,C,B
ID0013,mmlu,D,C,C
ID0015,jama,C,C,C
ID0016,jama,B,B,B
ID0017,jama,C,C,B
ID0018,jama,D,C,C
ID0021,jama,C,B,B
ID0024,mmlu,B,D,D
ID0025,medxpert,F,D,D
ID0027,mmlu,D,B,B
ID0028,medbullets,A,C,D
ID0029,medbullets,C,C,B
ID0030,jama,B,D,B
ID0032,medbullets,B,C,A
ID0034,medbullets,A,D,D
ID0039,mmlu,B,C,C
ID0041,jama,A,C,C
ID0042,medxpert,C,D,D
ID0043,jama,D,A,D
ID0044,jama,B,C,C
ID0045,medxpert,C,B,B
ID0046,medbullets,C,NONE,B
ID0047,jama,A,C,C
ID0048,medbullets,D,C,D
ID0049,jama,B,D,B
ID0052,jama,C,C,A
ID0053,medxpert,A,B,C
ID0054,jama,A,C,C
ID0055,medbullets,D,D,D
ID0056,medxpert,D,D,D
ID0057,mmlu,D,C,C
ID0059,mmlu,D,D,D
ID0060,jama,C,B,C
ID0062,jama,C,C,C
ID0063,medxpert,A,D,C
ID0064,mmlu,D,B,B
ID0067,medbullets,A,B,B
ID0069,jama,D,C,C
ID0071,medxpert,D,C,C
ID0072,jama,C,D,D
ID0073,medxpert,A,C,B
ID0074,mmlu,C,C,A
ID0076,jama,B,NONE,A
ID0078,medbullets,B,B,C
ID0079,jama,C,C,C
ID0081,jama,C,D,A
ID0082,medbullets,B,C,C
ID0085,medxpert,E,NONE,C
ID0086,medxpert,C,D,C
ID0088,jama,C,C,C
ID0089,jama,A,C,A
ID0092,medxpert,F,D,C
ID0093,jama,C,B,C
ID0094,jama,C,A,B
ID0096,medxpert,D,B,B
ID0097,jama,A,C,D
ID0098,mmlu,D,NONE,A
ID0099,medxpert,H,A,A
ID0101,medbullets,A,C,C
ID0102,medbullets,C,C,C
ID0106,medbullets,A,C,B
ID0108,jama,A,C,D
ID0109,jama,A,A,C
ID0110,jama,B,A,A
ID0111,medbullets,C,B,D
ID0112,medxpert,A,C,C
ID0113,mmlu,D,B,B
ID0115,medbullets,C,B,A
ID0116,jama,C,D,A
ID0117,mmlu,C,B,B
ID0119,jama,C,C,C
ID0122,mmlu,D,C,C
ID0124,jama,B,C,C
ID0125,jama,C,A,A
ID0127,jama,C,B,B
ID0129,mmlu,C,C,C
ID0130,jama,D,C,C
ID0133,jama,B,D,D
ID0135,medbullets,A,D,C
ID0136,mmlu,B,B,B
ID0137,medxpert,G,B,C
ID0140,medxpert,D,B,B
ID0141,medxpert,F,A,C
ID0142,jama,B,C,A
ID0144,medbullets,A,C,C
ID0146,jama,C,B,A
ID0147,jama,A,C,A
ID0148,medxpert,C,D,D
ID0149,jama,B,D,A
ID0150,jama,A,A,C
ID0151,medxpert,A,B,D
ID0152,medbullets,B,A,B
ID0153,jama,D,C,C
ID0154,mmlu,C,D,D
ID0155,jama,C,B,B
ID0157,jama,C,C,D
ID0161,jama,C,B,B
ID0162,medbullets,C,A,A
ID0163,jama,A,NONE,A
ID0164,mmlu,A,C,C
ID0165,medxpert,B,A,D
ID0166,medxpert,C,C,C
ID0168,mmlu,B,C,C
ID0169,jama,B,B,B
ID0170,medxpert,D,C,B
ID0172,jama,C,B,B
ID0177,medbullets,B,C,C
ID0182,medbullets,C,B,B
ID0184,mmlu,B,B,A
ID0185,medbullets,B,D,D
ID0186,jama,C,A,C
ID0189,mmlu,A,C,D
ID0190,mmlu,C,C,C
ID0191,jama,D,A,C
ID0192,jama,D,A,D
ID0193,medxpert,E,A,B
ID0195,jama,B,D,C
ID0198,medbullets,A,C,A
ID0199,jama,A,A,A
ID0200,medxpert,B,D,B
ID0202,jama,D,D,B
ID0206,jama,C,C,C
ID0207,medxpert,D,C,C
ID0209,mmlu,C,B,D
ID0211,medxpert,F,C,B
ID0213,jama,C,B,B
ID0215,jama,B,D,D
ID0216,medxpert,A,B,C
ID0217,mmlu,C,B,B
ID0219,jama,A,C,C
ID0220,mmlu,A,B,B
ID0221,medbullets,C,B,B
ID0222,jama,B,C,B
ID0229,medxpert,C,C,C
ID0230,jama,C,A,C
ID0232,jama,C,A,D
ID0233,medxpert,B,A,A
ID0235,medxpert,B,D,D
ID0236,jama,C,C,C
ID0237,mmlu,A,B,B
ID0238,medbullets,A,C,C
ID0240,jama,C,B,C
ID0241,jama,C,D,D
ID0242,medxpert,G,D,D
ID0243,jama,A,B,B
ID0244,medbullets,C,D,C
ID0246,jama,D,B,D
ID0247,medbullets,C,B,C
ID0248,medxpert,A,A,D
ID0249,medbullets,C,C,C
ID0251,mmlu,C,B,D
ID0253,mmlu,D,NONE,B
ID0254,jama,B,B,D
ID0256,mmlu,D,B,D
ID0257,jama,A,B,A
ID0258,jama,C,A,D
ID0262,medxpert,C,C,C
ID0265,mmlu,A,B,B
ID0268,jama,C,C,C
ID0270,mmlu,D,D,C
ID0275,medxpert,A,A,A
ID0277,jama,B,B,B
ID0278,jama,C,C,C
ID0280,jama,C,D,B
ID0281,medxpert,J,B,C
ID0283,jama,B,C,C
ID0284,medxpert,B,C,C
ID0286,jama,C,C,C
ID0287,jama,C,C,A
ID0289,jama,B,B,B
ID0291,medxpert,E,A,B
ID0292,medxpert,B,D,D
ID0293,medxpert,C,D,D
ID0295,jama,A,D,D
ID0296,jama,B,C,A
ID0297,jama,B,C,B
ID0298,medxpert,A,B,A
ID0300,jama,C,A,B
ID0301,jama,A,A,C
ID0302,jama,A,A,D
ID0303,medxpert,C,C,B
ID0304,medxpert,H,C,B
ID0305,medbullets,C,C,B
ID0307,mmlu,B,C,C
ID0309,medbullets,D,A,A
ID0310,jama,C,A,C
ID0313,mmlu,A,NONE,C
ID0314,medbullets,B,C,C
ID0315,mmlu,C,D,D
ID0317,medxpert,A,D,D
ID0320,medxpert,A,C,C
ID0321,jama,A,B,D
ID0323,jama,D,C,C
ID0324,jama,C,B,A
ID0325,medbullets,C,D,D
ID0326,jama,B,D,D
ID0327,medxpert,C,A,C
ID0328,jama,B,D,C
ID0330,medbullets,A,D,C
ID0331,jama,C,B,B
ID0332,jama,D,B,B
ID0334,jama,C,A,D
ID0336,medxpert,A,C,D
ID0337,jama,A,A,A
ID0339,mmlu,B,C,C
ID0342,jama,A,D,B
ID0345,jama,A,B,C
ID0349,medxpert,F,C,B
ID0351,jama,A,A,A
ID0352,jama,A,C,C
ID0353,medxpert,J,D,D
ID0356,jama,C,A,A
ID0357,medxpert,B,C,C
ID0359,medxpert,C,C,C
ID0360,mmlu,B,C,A
ID0362,jama,C,C,D
