Origin,QA_ID,data_source,K_trainee_High,qwen72b_topK_sentence_ids,trainee_High_sentence_ids,n_sentences_in_excerpt,n_attribution_sources,n_matched_sources
ID0002,Merge Q229,jama,5,"4,6,7,8,9","1,2,4,6,11",11,12,10
ID0003,Merge Q2235,medxpert,6,"1,2,4,5,6,7","1,2,4,5,6,7",7,7,7
ID0010,Merge Q3192,medxpert,4,"1,2,4,7","1,2,5,7",7,7,7
ID0013,Merge Q3811,mmlu,6,"1,2,3,4,6,7","1,2,3,5,6,7",7,7,7
ID0016,Merge Q644,jama,6,"1,2,3,4,5,7","1,3,4,5,6,7",7,7,7
ID0018,Merge Q319,jama,6,"5,7,8,9,10,11","1,2,7,8,9,11",12,11,11
ID0021,Merge Q1000,jama,6,"2,6,7,9,10,11","1,2,5,6,9,11",11,11,10
ID0024,Merge Q4048,mmlu,2,"2,3","1,4",4,4,4
ID0025,Merge Q3272,medxpert,3,"1,3,5","1,3,5",5,5,5
ID0027,Merge Q3993,mmlu,3,"1,6,7","1,3,7",8,8,8
ID0028,Merge Q1318,medbullets,3,"1,2,4","2,5,6",6,19,6
ID0029,Merge Q1214,medbullets,2,"1,12","1,12",12,12,12
ID0032,Merge Q1199,medbullets,5,"1,2,3,6,7","1,2,5,6,7",7,8,7
ID0034,Merge Q1218,medbullets,7,"1,2,4,5,7,9,10","3,4,5,6,7,10,11",11,11,11
ID0039,Merge Q3915,mmlu,2,"1,2","1,2",4,4,4
ID0041,Merge Q715,jama,7,"1,2,3,4,5,8,14","1,4,6,7,8,9,13",14,12,12
ID0042,Merge Q1521,medxpert,7,"1,2,3,5,6,7,8","1,2,3,5,6,7,8",8,8,8
ID0045,Merge Q1595,medxpert,1,3,2,3,2,2
ID0046,Merge Q1115,medbullets,9,"1,2,8,9,10,11,12,13,14","1,2,3,9,10,11,12,13,14",14,14,14
ID0047,Merge Q249,jama,5,"1,2,4,5,6","1,4,5,6,8",8,9,8
ID0048,Merge Q1110,medbullets,5,"2,3,5,9,10","1,2,3,9,10",10,11,10
ID0056,Merge Q3184,medxpert,2,"1,4","1,4",4,4,4
ID0057,Merge Q3862,mmlu,2,"2,4","2,4",4,4,4
ID0059,Merge Q3956,mmlu,2,"5,7","1,7",7,7,7
ID0060,Merge Q689,jama,2,"1,7","1,4",7,7,7
ID0062,Merge Q670,jama,3,"1,2,6","1,4,6",8,6,6
ID0063,Merge Q1952,medxpert,3,"1,2,5","2,4,5",5,5,5
ID0067,Merge Q1277,medbullets,3,"1,2,3","1,2,3",3,3,3
ID0069,Merge Q468,jama,5,"1,7,9,11,12","1,2,9,10,11",12,12,12
ID0071,Merge Q1749,medxpert,3,"1,2,3","1,2,3",4,4,4
ID0073,Merge Q2456,medxpert,2,"1,8","1,8",8,8,8
ID0074,Merge Q3823,mmlu,6,"1,2,5,6,7,9","1,2,5,6,7,9",9,9,9
ID0082,Merge Q1287,medbullets,2,"1,3","1,3",8,8,8
ID0085,Merge Q2319,medxpert,2,"1,4","1,4",4,4,4
ID0092,Merge Q2438,medxpert,2,"4,7","6,7",8,8,8
ID0093,Merge Q446,jama,6,"1,2,5,6,8,10","1,3,4,5,6,9",10,9,8
ID0094,Merge Q267,jama,4,"1,7,9,10","1,2,7,9",11,11,10
ID0096,Merge Q2672,medxpert,3,"1,2,3","1,4,5",5,16,5
ID0098,Merge Q4040,mmlu,4,"2,7,10,14","1,3,11,14",14,14,14
ID0110,Merge Q180,jama,8,"1,3,4,6,7,8,9,11","1,2,3,4,5,6,10,11",11,11,11
ID0111,Merge Q1204,medbullets,5,"1,2,3,7,10","1,2,3,7,10",11,11,11
ID0112,Merge Q1781,medxpert,2,"1,4","1,5",6,6,6
ID0113,Merge Q3936,mmlu,4,"5,7,10,12","1,6,7,10",14,14,14
ID0115,Merge Q1128,medbullets,4,"3,4,5,13","1,5,10,15",16,16,16
ID0116,Merge Q173,jama,9,"1,2,4,5,7,8,9,10,12","1,2,4,6,7,8,9,11,12",12,14,11
ID0117,Merge Q4034,mmlu,5,"1,7,8,9,10","1,2,3,9,10",10,10,10
ID0122,Merge Q4000,mmlu,1,2,3,4,4,4
ID0127,Merge Q937,jama,6,"1,4,6,7,10,12","1,2,6,7,10,13",13,11,11
ID0129,Merge Q4033,mmlu,3,"4,5,6","2,5,6",7,7,7
ID0133,Merge Q148,jama,2,"1,3","1,3",5,5,5
ID0136,Merge Q3806,mmlu,4,"1,7,8,10","1,7,8,10",11,11,11
