ID,src,lab5,lab4,sent_idx,h5,h4
ID0002,jama,H,H,1,True,True
ID0003,medxpert,H,L,1,True,False
ID0007,medbullets,H,L,1,True,False
ID0009,jama,H,H,1,True,True
ID0010,medxpert,H,L,1,True,False
ID0013,mmlu,H,H,1,True,True
ID0015,jama,H,H,1,True,True
ID0016,jama,H,H,1,True,True
ID0017,jama,L,L,1,False,False
ID0018,jama,H,H,1,True,True
ID0021,jama,H,L,1,True,False
ID0024,mmlu,L,L,1,False,False
ID0025,medxpert,L,L,1,False,False
ID0027,mmlu,H,H,1,True,True
ID0028,medbullets,H,L,1,True,False
ID0029,medbullets,H,H,1,True,True
ID0030,jama,H,H,1,True,True
ID0032,medbullets,H,H,1,True,True
ID0034,medbullets,L,I,1,False,False
ID0039,mmlu,H,H,1,True,True
ID0041,jama,H,H,1,True,True
ID0042,medxpert,L,L,1,False,False
ID0043,jama,H,H,1,True,True
ID0044,jama,L,L,1,False,False
ID0045,medxpert,L,L,1,False,False
ID0046,medbullets,H,L,1,True,False
ID0047,jama,H,H,1,True,True
ID0048,medbullets,H,H,1,True,True
ID0049,jama,L,L,1,False,False
ID0052,jama,H,L,1,True,False
ID0053,medxpert,H,H,1,True,True
ID0054,jama,H,L,1,True,False
ID0055,medbullets,H,L,1,True,False
ID0056,medxpert,H,H,1,True,True
ID0057,mmlu,L,L,1,False,False
ID0059,mmlu,H,L,1,True,False
ID0060,jama,H,L,1,True,False
ID0062,jama,H,L,1,True,False
ID0063,medxpert,L,L,1,False,False
ID0064,mmlu,H,H,1,True,True
ID0067,medbullets,H,L,1,True,False
ID0069,jama,H,H,1,True,True
ID0071,medxpert,L,L,1,False,False
ID0072,jama,L,L,1,False,False
ID0073,medxpert,H,H,1,True,True
ID0074,mmlu,H,L,1,True,False
ID0076,jama,H,L,1,True,False
ID0078,medbullets,H,H,1,True,True
ID0079,jama,L,H,1,False,True
ID0081,jama,L,L,1,False,False
ID0082,medbullets,H,H,1,True,True
ID0085,medxpert,H,L,1,True,False
ID0086,medxpert,H,H,1,True,True
ID0088,jama,H,H,1,True,True
ID0089,jama,H,H,1,True,True
ID0092,medxpert,L,L,1,False,False
ID0093,jama,H,H,1,True,True
ID0094,jama,H,H,1,True,True
ID0096,medxpert,H,H,1,True,True
ID0097,jama,H,H,1,True,True
ID0098,mmlu,H,H,1,True,True
ID0099,medxpert,H,H,1,True,True
ID0101,medbullets,L,L,1,False,False
ID0102,medbullets,H,L,1,True,False
ID0106,medbullets,H,H,1,True,True
ID0108,jama,L,L,1,False,False
ID0109,jama,H,H,1,True,True
ID0110,jama,L,H,1,False,True
ID0111,medbullets,H,L,1,True,False
ID0112,medxpert,H,H,1,True,True
ID0113,mmlu,L,L,1,False,False
ID0115,medbullets,L,L,1,False,False
ID0116,jama,H,L,1,True,False
ID0117,mmlu,H,H,1,True,True
ID0119,jama,H,L,1,True,False
ID0122,mmlu,L,L,1,False,False
ID0124,jama,H,H,1,True,True
ID0125,jama,H,H,1,True,True
ID0127,jama,H,L,1,True,False
ID0129,mmlu,H,L,1,True,False
ID0130,jama,H,L,1,True,False
ID0133,jama,H,H,1,True,True
ID0135,medbullets,L,L,1,False,False
ID0136,mmlu,H,H,1,True,True
ID0137,medxpert,L,H,1,False,True
ID0140,medxpert,L,L,1,False,False
ID0141,medxpert,L,I,1,False,False
ID0142,jama,L,L,1,False,False
ID0144,medbullets,H,H,1,True,True
ID0146,jama,L,I,1,False,False
ID0147,jama,L,H,1,False,True
ID0148,medxpert,H,L,1,True,False
ID0149,jama,L,L,1,False,False
ID0150,jama,H,H,1,True,True
ID0151,medxpert,H,H,1,True,True
ID0152,medbullets,L,L,1,False,False
ID0153,jama,H,H,1,True,True
ID0154,mmlu,H,H,1,True,True
ID0155,jama,H,H,1,True,True
ID0157,jama,H,H,1,True,True
ID0161,jama,H,H,1,True,True
ID0162,medbullets,L,L,1,False,False
ID0163,jama,H,H,1,True,True
ID0164,mmlu,L,I,1,False,False
ID0165,medxpert,H,L,1,True,False
ID0166,medxpert,H,H,1,True,True
ID0168,mmlu,H,L,1,True,False
ID0169,jama,H,H,1,True,True
ID0170,medxpert,L,L,1,False,False
ID0172,jama,H,H,1,True,True
ID0177,medbullets,L,I,1,False,False
ID0182,medbullets,H,H,1,True,True
ID0184,mmlu,H,H,1,True,True
ID0185,medbullets,H,L,1,True,False
ID0186,jama,H,H,1,True,True
ID0189,mmlu,H,H,1,True,True
ID0190,mmlu,L,L,1,False,False
ID0191,jama,L,L,1,False,False
ID0192,jama,L,L,1,False,False
ID0193,medxpert,H,L,1,True,False
ID0195,jama,H,H,1,True,True
ID0198,medbullets,H,H,1,True,True
ID0199,jama,H,H,1,True,True
ID0200,medxpert,H,L,1,True,False
ID0202,jama,H,H,1,True,True
ID0206,jama,L,L,1,False,False
ID0207,medxpert,L,L,1,False,False
ID0209,mmlu,H,H,1,True,True
ID0211,medxpert,L,L,1,False,False
ID0213,jama,L,L,1,False,False
ID0215,jama,L,L,1,False,False
ID0216,medxpert,H,H,1,True,True
ID0217,mmlu,H,H,1,True,True
ID0219,jama,H,H,1,True,True
ID0220,mmlu,L,L,1,False,False
ID0221,medbullets,H,H,1,True,True
ID0222,jama,H,H,1,True,True
ID0229,medxpert,H,H,1,True,True
ID0230,jama,H,L,1,True,False
ID0232,jama,H,H,1,True,True
ID0233,medxpert,L,L,1,False,False
ID0235,medxpert,H,H,1,True,True
ID0236,jama,H,H,1,True,True
ID0237,mmlu,H,H,1,True,True
ID0238,medbullets,H,H,1,True,True
ID0240,jama,H,H,1,True,True
ID0241,jama,L,L,1,False,False
ID0242,medxpert,I,L,1,False,False
ID0243,jama,H,H,1,True,True
ID0244,medbullets,L,L,1,False,False
ID0246,jama,L,H,1,False,True
ID0247,medbullets,L,I,1,False,False
ID0248,medxpert,L,L,1,False,False
ID0249,medbullets,L,L,1,False,False
ID0251,mmlu,H,H,1,True,True
ID0253,mmlu,H,L,1,True,False
ID0254,jama,L,L,1,False,False
ID0256,mmlu,H,L,1,True,False
ID0257,jama,H,H,1,True,True
ID0258,jama,H,H,1,True,True
ID0262,medxpert,H,L,1,True,False
ID0265,mmlu,L,L,1,False,False
ID0268,jama,H,L,1,True,False
ID0270,mmlu,L,L,1,False,False
ID0275,medxpert,L,L,1,False,False
ID0277,jama,H,H,1,True,True
ID0278,jama,L,L,1,False,False
ID0280,jama,H,H,1,True,True
ID0281,medxpert,H,H,1,True,True
ID0283,jama,H,H,1,True,True
ID0284,medxpert,H,H,1,True,True
ID0286,jama,L,L,1,False,False
ID0287,jama,L,L,1,False,False
ID0289,jama,H,H,1,True,True
ID0291,medxpert,H,H,1,True,True
ID0292,medxpert,H,H,1,True,True
ID0293,medxpert,H,H,1,True,True
ID0295,jama,L,L,1,False,False
ID0296,jama,L,H,1,False,True
ID0298,medxpert,H,H,1,True,True
ID0300,jama,L,L,1,False,False
ID0301,jama,H,H,1,True,True
ID0302,jama,L,L,1,False,False
ID0303,medxpert,H,H,1,True,True
ID0304,medxpert,H,H,1,True,True
ID0305,medbullets,H,H,1,True,True
ID0307,mmlu,H,H,1,True,True
ID0309,medbullets,L,L,1,False,False
ID0310,jama,H,H,1,True,True
ID0313,mmlu,H,H,1,True,True
ID0314,medbullets,H,H,1,True,True
ID0315,mmlu,H,H,1,True,True
ID0317,medxpert,H,H,1,True,True
ID0320,medxpert,H,L,1,True,False
ID0321,jama,L,L,1,False,False
ID0323,jama,H,H,1,True,True
ID0324,jama,H,H,1,True,True
ID0325,medbullets,H,L,1,True,False
ID0326,jama,H,L,1,True,False
ID0327,medxpert,L,I,1,False,False
ID0328,jama,L,L,1,False,False
ID0330,medbullets,H,H,1,True,True
ID0331,jama,L,H,1,False,True
ID0332,jama,H,L,1,True,False
ID0334,jama,L,L,1,False,False
ID0336,medxpert,L,L,1,False,False
ID0337,jama,L,L,1,False,False
ID0339,mmlu,H,L,1,True,False
ID0342,jama,H,L,1,True,False
ID0345,jama,L,L,1,False,False
ID0349,medxpert,H,H,1,True,True
ID0351,jama,L,L,1,False,False
ID0352,jama,H,H,1,True,True
ID0353,medxpert,H,L,1,True,False
ID0356,jama,L,L,1,False,False
