Origin,Round 1 Letter,Round 2 Letter,Ground Truth
ID0002,D,D,D
ID0003,D,D,G
ID0007,A,B,B
ID0009,D,D,D
ID0010,H,H,H
ID0013,B,B,B
ID0015,C,C,C
ID0016,B,B,B
ID0017,C,D,C
ID0018,D,D,D
ID0021,B,B,B
ID0024,B,B,B
ID0025,<answer>Option (F)</answer>,F,F
ID0027,D,D,D
ID0028,A,A,A
ID0029,A,A,A
ID0030,B,B,B
ID0032,D,D,D
ID0034,A,A,A
ID0039,B,B,B
ID0041,A,A,A
ID0042,<answer>Option (C)</answer>,C,B
ID0043,D,D,C
ID0044,B,B,B
ID0045,D,A,D
ID0046,D,D,D
ID0047,A,A,A
ID0048,B,D,D
ID0049,B,B,B
ID0052,B,B,C
ID0053,G,G,H
ID0054,A,A,A
ID0055,B,B,A
ID0056,D,D,D
ID0057,D,D,D
ID0059,B,A,B
ID0060,C,C,C
ID0062,B,B,B
ID0063,<answer>Option (B)</answer>,J,B
ID0064,D,D,D
ID0067,A,A,A
ID0069,D,D,D
ID0071,H,E,D
ID0072,C,C,C
ID0073,D,D,G
ID0074,C,C,C
ID0076,B,C,C
ID0078,B,B,B
ID0079,B,B,B
ID0081,C,C,D
ID0082,B,B,B
ID0085,<answer>Option (E)</answer>,I,J
ID0086,<answer>Option (D)</answer>,D,H
ID0088,B,B,B
ID0089,A,A,A
ID0092,J,J,B
ID0093,C,C,C
ID0094,C,C,C
ID0096,<answer>Option (D)</answer>,D,E
ID0097,D,D,D
ID0098,D,D,D
ID0099,<answer>Option (G)</answer>,G,E
ID0101,A,A,A
ID0102,D,C,D
ID0106,C,D,C
ID0108,C,C,C
ID0109,A,A,A
ID0110,B,B,B
ID0111,D,D,D
ID0112,<answer>Option (D)</answer>,D,D
ID0113,D,D,D
ID0115,B,B,D
ID0116,C,C,A
ID0117,D,D,D
ID0119,C,A,D
ID0122,D,D,D
ID0124,B,C,C
ID0125,B,C,D
ID0127,C,C,B
ID0129,A,A,A
ID0130,C,C,C
ID0133,D,D,D
ID0135,B,B,A
ID0136,B,B,B
ID0137,<answer>Option (B)</answer>,G,D
ID0140,J,D,G
ID0141,I,G,I
ID0142,C,C,C
ID0144,B,B,A
ID0146,A,A,A
ID0147,B,B,B
