Sentence_x,sentence_ID,Score,Source,Original_Position,row_index,QA_ID,Extracted_Answer,Sentence_y,sentence_ID_x,sentence_ID_y
A 15-year-old girl is brought to the clinic because her mother is worried the patient has not yet had her period.,0,49.39902749237675,A 15-year-old girl is brought to the clinic because her mother is worried the patient has not yet had her period.,1,18,MedBullets df_op4 Q19,B,The patient’s older sister had her first period at age 14.,1,1
The patient’s older sister had her first period at age 14.,1,5.554676091600756,The patient’s older sister had her first period at age 14.,7,18,MedBullets df_op4 Q19,B,Her body mass index (BMI) is 19 kg/m^2.,7,7
The mother had her first period at age 13.,2,2.318312488496304,The mother had her first period at age 13.,9,18,MedBullets df_op4 Q19,B,Serum follicle-stimulating hormone (FSH) level is measured to be 38 mIU/mL.,9,9
The patient reports she is doing well in school and is on the varsity basketball team.,3,25.912109310228125,The patient reports she is doing well in school and is on the varsity basketball team.,4,18,MedBullets df_op4 Q19,B,Her medical history is significant for asthma and atopic dermatitis.,4,4
Her medical history is significant for asthma and atopic dermatitis.,4,23.482894859858416,Her medical history is significant for asthma and atopic dermatitis.,5,18,MedBullets df_op4 Q19,B,Her medications include albuterol and topical triamcinolone.,5,5
Her medications include albuterol and topical triamcinolone.,5,43.72381794198645,Her medications include albuterol and topical triamcinolone.,2,18,MedBullets df_op4 Q19,B,The mother had her first period at age 13.,2,2
"Her temperature is 98°F (36.7°C), blood pressure is 111/72 mmHg, pulse is 65/min, and respirations are 14/min with an oxygen saturation of 99% on room air.",6,49.897151888721055,"Her temperature is 98°F (36.7°C), blood pressure is 111/72 mmHg, pulse is 65/min, and respirations are 14/min with an oxygen saturation of 99% on room air.",0,18,MedBullets df_op4 Q19,B,A 15-year-old girl is brought to the clinic because her mother is worried the patient has not yet had her period.,0,0
Her body mass index (BMI) is 19 kg/m^2.,7,2.517129656393408,Her body mass index (BMI) is 19 kg/m^2.,8,18,MedBullets df_op4 Q19,B,Physical exam shows absent breast development and external genitalia at Tanner stage 1.,8,8
Physical exam shows absent breast development and external genitalia at Tanner stage 1.,8,23.28952298584441,Physical exam shows absent breast development and external genitalia at Tanner stage 1.,6,18,MedBullets df_op4 Q19,B,"Her temperature is 98°F (36.7°C), blood pressure is 111/72 mmHg, pulse is 65/min, and respirations are 14/min with an oxygen saturation of 99% on room air.",6,6
Serum follicle-stimulating hormone (FSH) level is measured to be 38 mIU/mL.,9,33.43978160148308,Serum follicle-stimulating hormone (FSH) level is measured to be 38 mIU/mL.,3,18,MedBullets df_op4 Q19,B,The patient reports she is doing well in school and is on the varsity basketball team.,3,3
