Model,Condition,File_Path,Accuracy_Percent,Improvement_PercPts,Sample_Count,Response_Column,Correct_Column,Notes
GPT-4o,Trainee Removed,/home/yuexing/NeuRIPS25/After_PT_Removal/GPT4o/results/predictions/gpt4o_predictions_Original_Accuracy.csv,73.95,Baseline,933 expert,Round 2 Letter,answer_corr,Baseline accuracy on 933 expert QAs
GPT-4o,Physician-Irrelevant,/home/yuexing/NeuRIPS25/After_PT_Removal/GPT4o/results/predictions/gpt4o_predictions_on_MJ_LowIRR.csv,71.28,-2.68,933 expert,gpt_direct_prediction (extracted),answer_corr,Extracted letter from <answer>Option X</answer>
GPT-4o,Physician-Random,/home/yuexing/NeuRIPS25/After_PT_Removal/GPT4o/results/predictions/gpt4o_predictions_on_Random.csv,61.41,-12.54,933 expert,gpt_direct_prediction (extracted),answer_corr,Extracted letter from <answer>Option X</answer>
GPT-4o,GPT-4o Removed,/home/yuexing/NeuRIPS25/After_PT_Removal/GPT4o/results/predictions/gpt4o_predictions_on_gpt4o_removed.csv,73.95,+0.00,933 expert,Round 2 Letter,answer_corr,No change when GPT-4o sentences removed
GPT-4o,GPT-5 Removed,/home/yuexing/NeuRIPS25/After_PT_Removal/GPT4o/results/predictions/gpt4o_predictions_on_gpt5_removed.csv,70.42,-3.54,933 expert,gpt4o_direct_prediction (extracted),answer_corr,Origin mapped from GPT5 MJ_LowIRR reference
GPT-4o,Qwen-14B Removed,/home/yuexing/NeuRIPS25/After_PT_Removal/GPT4o/results/predictions/gpt4o_predictions_on_14b_removed.csv,70.20,-3.75,933 expert,gpt4o_direct_prediction (extracted),answer_corr,Extracted letter from prediction
GPT-4o,Qwen-72B Removed,/home/yuexing/NeuRIPS25/After_PT_Removal/GPT4o/results/predictions/[SR]_gpt4o_predictions_on_qwen72b_removed.csv,73.95,+0.00,933 expert,Round 2 Letter,answer_corr,No change when Qwen-72B sentences removed
GPT-4o,Llama-70B Removed,/home/yuexing/NeuRIPS25/After_PT_Removal/GPT4o/results/predictions/gpt4o_predictions_on_llama70b_removed.csv,65.70,-8.26,930 expert,GPT4o_prediction (extracted),answer_df3,Largest drop; 930 total in file
GPT-4o,MedGemma-27B Removed,/home/yuexing/NeuRIPS25/After_PT_Removal/GPT4o/results/predictions/gpt4o_predictions_on_MedGemma_removed.csv,69.13,-4.82,933 expert,gpt4o_direct_prediction (extracted),answer_corr,Extracted letter from prediction
GPT-5,Trainee Removed,/home/yuexing/NeuRIPS25/After_PT_Removal/GPT5/results/predictions/gpt5_predictions_Original_Accuracy.csv,84.78,Baseline,933 expert,run2_response,answer_corr,Origin mapped from MJ_LowIRR reference file
GPT-5,Physician-Irrelevant,/home/yuexing/NeuRIPS25/After_PT_Removal/GPT5/results/predictions/gpt5_predictions_on_MJ_LowIRR.csv,57.34,-27.44,933 expert,gpt_letter,answer_letter,Pre-extracted letter column
GPT-5,Physician-Random,/home/yuexing/NeuRIPS25/After_PT_Removal/GPT5/results/predictions/gpt5_predictions_on_Random.csv,78.14,-6.65,933 expert,gpt_letter,answer_letter,Pre-extracted letter column
GPT-5,GPT-4o Removed,/home/yuexing/NeuRIPS25/After_PT_Removal/GPT5/results/predictions/gpt5_predictions_on_gpt4o_removed.csv,73.95,-10.83,933 expert,Round 2 Letter,Correct Letter,GPT-5 performance when GPT-4o sentences removed
GPT-5,GPT-5 Removed,/home/yuexing/NeuRIPS25/After_PT_Removal/GPT5/results/predictions/gpt5_predictions_on_gpt5_removed.csv,0.00,-84.78,933 expert,run2_response,answer_corr,CRITICAL: Complete failure when GPT-5 own sentences removed
Llama-70B,Trainee Removed,/home/yuexing/NeuRIPS25/After_PT_Removal/Llama-70B/results/predictions/Llama70B_ORIGINAL_predictions.csv,21.01,Baseline,933 expert,Extracted_Answer,answer_corr (merged),Correct answer merged from MJ_LowIRR
Llama-70B,Physician-Irrelevant,/home/yuexing/NeuRIPS25/After_PT_Removal/Llama-70B/results/predictions/Llama70B_predictions_on_MJ_LowIRR.csv,40.94,+19.94,933 expert,llama70b_extracted_answer,answer_corr,Model-specific extracted answer column
Llama-70B,Physician-Random,/home/yuexing/NeuRIPS25/After_PT_Removal/Llama-70B/results/predictions/Llama70B_predictions_on_Random.csv,57.66,+36.66,933 expert,Extracted_Answer,answer_corr (merged),Correct answer merged from MJ_LowIRR
MedGemma-27B,Trainee Removed,/home/yuexing/NeuRIPS25/After_PT_Removal/MedGemma-27b-text-it/results/predictions/MedGemma27B_predictions_ORIGINAL.csv,26.80,Baseline,933 expert,Extracted_Answer,answer_corr (merged),Correct answer merged from MJ_LowIRR
MedGemma-27B,Physician-Irrelevant,/home/yuexing/NeuRIPS25/After_PT_Removal/MedGemma-27b-text-it/results/predictions/MedGemma27B_predictions_on_MJ_LowIRR.csv,16.72,-10.08,933 expert,medgemma_extracted_answer,answer_corr,Model-specific extracted answer column
MedGemma-27B,Physician-Random,/home/yuexing/NeuRIPS25/After_PT_Removal/MedGemma-27b-text-it/results/predictions/MedGemma27B_predictions_on_Random.csv,22.62,-4.18,933 expert,Extracted_Answer,answer_corr (merged),Correct answer merged from MJ_LowIRR
Qwen-14B,Trainee Removed,/home/yuexing/NeuRIPS25/After_PT_Removal/Qwen2.5-14B-Instruct/results/predictions/Qwen_14B_predictions_ORIGINAL.csv,57.23,Baseline,933 expert,Extracted_Answer,answer_corr (merged),Correct answer merged from MJ_LowIRR
Qwen-14B,Physician-Irrelevant,/home/yuexing/NeuRIPS25/After_PT_Removal/Qwen2.5-14B-Instruct/results/predictions/Qwen_14B_predictions_on_MJ_LowIRR.csv,37.83,-19.40,933 expert,qwen14b_extracted_answer,answer_corr,Model-specific extracted answer column
Qwen-14B,Physician-Random,/home/yuexing/NeuRIPS25/After_PT_Removal/Qwen2.5-14B-Instruct/results/predictions/Qwen_14B_predictions_on_Random.csv,53.16,-4.07,933 expert,Extracted_Answer,answer_corr (merged),Correct answer merged from MJ_LowIRR
Qwen-72B,Trainee Removed,/home/yuexing/NeuRIPS25/After_PT_Removal/Qwen2.5-72B-Instruct/results/predictions/Qwen_72B_predictions_ORIGINAL.csv,56.67,Baseline,933 expert,Extracted_Answer,answer_corr (merged),Correct answer merged from MJ_LowIRR
Qwen-72B,Physician-Irrelevant,/home/yuexing/NeuRIPS25/After_PT_Removal/Qwen2.5-72B-Instruct/results/predictions/Qwen_72B_predictions_on_MJ_LowIRR.csv,38.80,-17.87,933 expert,Extracted_Answer,answer_corr,Pre-existing column
Qwen-72B,Physician-Random,/home/yuexing/NeuRIPS25/After_PT_Removal/Qwen2.5-72B-Instruct/results/predictions/Qwen_72B_predictions_on_Random.csv,55.52,-1.15,933 expert,Extracted_Answer,answer_corr (merged),Correct answer merged from MJ_LowIRR
DATA_AVAILABILITY_NOTE,,,,,,,ONLY GPT-4o and GPT-5 have cross-model removal files; open-source models (Llama-70B Qwen-14B Qwen-72B MedGemma-27B) do not have data for testing on other models' removed sentences
DATA_AVAILABILITY_NOTE,,,,,,,Total rows: 27 data rows covering 6 models across Physician-Irrelevant; Physician-Random; and cross-model removal conditions
