Origin,human_sentence_ids,keep_k
ID0002,"1, 2, 4, 6, 11",5
ID0003,"1, 2, 4, 5, 6",5
ID0007,"2, 3, 4, 5, 7",5
ID0009,"2, 3, 4, 5, 6",5
ID0010,"1, 7",2
ID0013,"1, 2, 3, 6, 7",5
ID0015,"1, 2, 4, 6",4
ID0016,"1, 3",2
ID0017,"1, 2, 3, 4",4
ID0018,"1, 2, 5, 6, 7, 8, 9, 11, 12",9
ID0021,"1, 2, 4, 5, 6, 8, 9, 10, 11",9
ID0024,4,1
ID0025,"1, 3, 4, 5",4
ID0027,"1, 6",2
ID0028,"1, 2, 3, 5, 6",5
ID0029,"1, 2, 3, 4, 5, 9, 11, 12",8
ID0030,"2, 3, 5, 11",4
ID0032,"1, 2, 5, 6",4
ID0034,"1, 3, 4, 5, 6, 7, 10",7
ID0039,"1, 2, 3",3
ID0041,"1, 2, 4, 8, 13, 14",6
ID0042,"1, 2, 3, 5, 6, 7, 8",7
ID0043,"1, 2, 4, 5, 7",5
ID0044,"1, 2, 6, 8, 9, 12, 13",7
ID0045,2,1
ID0046,"1, 2, 3, 4, 8, 9, 10, 11, 12, 13, 14",11
ID0047,"1, 2, 4, 5, 6, 8",6
ID0048,"2, 3",2
ID0049,"1, 2, 3, 4, 6, 7, 8, 9, 10, 12",10
ID0052,"1, 2, 4, 5",4
ID0053,"1, 6, 7",3
ID0054,"1, 2, 3, 4, 7, 9, 11",7
ID0055,"1, 3, 4, 6, 7, 11",6
ID0056,"1, 4",2
ID0057,"2, 4",2
ID0059,"2, 7",2
ID0060,"1, 2, 4, 6",4
ID0062,"1, 2, 4, 6",4
ID0063,"2, 4, 5",3
ID0064,"1, 2",2
ID0067,"2, 3",2
ID0069,"1, 6, 9, 10, 11",5
ID0071,1,1
ID0072,"1, 3, 5, 8, 10, 11, 12, 13",8
ID0073,"1, 2, 8",3
ID0074,"1, 2, 5, 6, 7, 8, 9",7
ID0076,"1, 2, 7",3
ID0078,"1, 2, 4, 7, 8, 9, 10, 11, 12, 13",10
ID0079,"6, 7, 8, 9, 14, 15",6
ID0081,"1, 4, 6, 7",4
ID0082,"1, 2, 3, 4, 5",5
