Origin,question_options,answer_corr,data_source_corr,New_Sentences
ID0589,"What Is Your Diagnosis?

A: Pseudoxanthoma elasticum  
B: Inherited cutis laxa syndrome  
C: Pseudoxanthoma elasticum–like disorder with coagulation deficiency  
D: Pseudoxanthoma elasticum/pseudoxanthoma elasticum–like overlap syndrome",C,jama,"A skin biopsy specimen was obtained from her neck for histopathologic examination (Figure, B).A, Clinical image of the neck, axillae, and abdomen. However, her younger sister had developed the same skin symptoms"
ID0021,"What Would You Do Next?

A: Obtain a corneal culture  
B: Human immunodeficiency virus testing and lymphocyte analysis  
C: Discontinue oral acyclovir and start topical trifluridine  
D: Perform corneal topography",B,jama,His pediatrician prescribed oral acyclovir and ibuprofen as needed for pain.
ID1148,"What Is Your Diagnosis?

A: Cutaneous T-cell lymphoma (mycosis fungoides [MF])  
B: Scleromyxedema  
C: Lepromatous leprosy  
D: Scleroderma",B,jama,". Skin sensation was intact.A, Clinical image of the exaggerated skin folds of the forehead and glabella"
ID0395,"What Would You Do Next?

A: Order magnetic resonance imaging of the orbit  
B: Refer to oncology for metastatic workups  
C: Start oral prednisone therapy  
D: Schedule transscleral or transvitreal biopsy",C,jama,
ID0769,"What Would You Do Next?

A: Perform a skin biopsy with indirect immunofluorescence  
B: Obtain serum antinuclear antibody and lupus anticoagulant assay  
C: Obtain a bacterial culture of the skin lesions  
D: Obtain a urine drug screen",B,jama,
ID0809,"What Would You Do Next?

A: Start diuretic, β-blocker, and angiotensin-converting enzyme inhibitor  
B: Start diuretic, implant cardioverter defibrillator, and evaluate for cardiac transplantation  
C: Discontinue flecainide, start amiodarone and warfarin  
D: Proceed with electrophysiology study and AF ablation",B,jama,"B, Four-chamber view of transthoracic echocardiogram"
ID1150,"What Would You Do Next?

A: Computed tomographic scan of the orbits with contrast  
B: Myasthenia gravis testing  
C: Referral for strabismus surgery  
D: Thyroid function testing",A,jama,
ID0199,"What Would You Do Next?

A: Topical apraclonidine test  
B: Urgent MRI  
C: Offer carbamazepine and routine MRI  
D: Extraocular muscle surgery",C,jama,
ID1032,"What Would You Do Next?

A: Increase topical steroids  
B: Inject intravitreal antibiotics  
C: Perform vitrectomy  
D: Inject antifungal drug",A,jama,
ID0278,"What Is Your Diagnosis?

A: Mesenteric cyst  
B: Gastric duplication cyst  
C: Pancreatic pseudocyst  
D: Walled-off pancreatic necrosis",C,jama,
ID1570,"Which of the following is most strongly associated with this patient's condition?

A. Cardiac rhabdomyoma  
B. Glaucoma  
C. Optic glioma  
D. Polyostotic fibrous dysplasia",A,medbullets,
ID0852,"Which of the following is the most likely diagnosis?

A. Cerebral salt wasting  
B. Diuretic overuse  
C. Primary polydipsia  
D. Syndrome of inappropriate anti-diuretic hormone",A,medbullets,
ID0699,"What Would You Do Next?  
A: Add immunosuppressant to corticosteroid therapy  
B: Increase the prednisone dose  
C: Obtain cerebral magnetic resonance venography or computed tomographic venography  
D: Perform catheter cerebral angiography",C,jama,
ID1919,"Which of the following is the most likely diagnosis?

A. Decreased metabolism of bilirubin  
B. Increased enterohepatic circulation of bilirubin  
C. Obstruction of the extrahepatic biliary tree  
D. Obstruction of the intrahepatic biliary tree",C,medbullets,
ID0801,"This patient is most likely to have experienced a deletion on which of the following chromosomes?

A. 4p  
B. 5p  
C. 7q  
D. 15q",B,medbullets,The patient was born at 39 weeks of gestation to a 30-year-old primigravid via vaginal delivery
ID0790,"Which of the following is the most appropriate next step in management?

A. Aspirin  
B. Cardiac troponins  
C. Heparin  
D. Ventilation perfusion scan",C,medbullets,"His temperature is 99.5°F (37.5°C), blood pressure is 130/87 mmHg, pulse is 120/min, respirations are 15/min, and oxygen saturation is 93% on room air. His cardiac exam is notable for tachycardia. Pulmonary exam reveals bilateral air movement without any wheezes or crackles. The patient has a medical history of obesity, diabetes, diabetic nephropathy, hypertension, and a 40-pack-year smoking history"
ID1279,"Which of the following is the most likely diagnosis in this patient?

A. Amyotrophic lateral sclerosis  
B. Carpal tunnel syndrome  
C. Cervical spondylosis  
D. Syringomyelia",C,medbullets,"The patient’s temperature is 99.6°F (37.6°C), blood pressure is 134/80 mmHg, pulse is 90/min, and respirations are 16/min. There is no spasticity"
ID1488,"Which of the following is the most appropriate treatment for this patient's tremor?

A. Alcoholics anonymous  
B. Aripiprazole  
C. Phenobarbital  
D. Propranolol",D,medbullets,
ID0314,"Which of the following is the most appropriate next diagnostic step?

A. CYP17 gene work-up  
B. Gonadotrophin-releasing hormone stimulation test  
C. Karotype  
D. Luteinizing hormone levels",C,medbullets,Her medical history is significant for asthma and atopic dermatitis. The patient reports she is doing well in school and is on the varsity basketball team. The patient’s older sister had her first period at age 14
ID1536,"Which of the following is the most likely diagnosis?

A. Chalazion  
B. Foreign body  
C. Hordeolum  
D. Meibomian cell carcinoma",A,medbullets,
ID1051,"Which of the following arteries is most likely involved in this patient’s presentation?

A. Anterior spinal artery  
B. Lenticulostriate branches of the middle cerebral artery  
C. Pontine perforators of the basilar artery  
D. Posterior inferior cerebellar artery",A,medbullets,
ID0529,"Which of the following is the most appropriate next step in management?

A. CT scan abdomen and pelvis with contrast  
B. Renal biopsy  
C. Repeat urinalysis  
D. Urine dipstick in the morning and in the afternoon",D,medbullets,"His physical exam is unremarkable. He eats solids and drinks liquids without difficulty. His temperature is 98.6°F (37°C), blood pressure is 110/70 mmHg, pulse is 76/min, and respirations are 15/min."
ID1489,"Which of the following is the most appropriate next step in management for the most likely underlying diagnosis?

A. Blood cultures  
B. CT scan  
C. Ultrasound  
D. Vancomycin and gentamicin",A,medbullets,
ID1081,"Which of the following is the most appropriate next step in management?

A. Add lithium to treatment regimen  
B. Change treatment to duloxetine  
C. Change treatment to lithium  
D. Continue current therapy",D,medbullets,
