Origin,data_source_corr,answerable,correct_answer,GPT-5_Round1,GPT-5_Round2,GPT-4o_Round1,GPT-4o_Round2,Qwen-14B_Round1,Qwen-14B_Round2,Qwen-72B_Round1,Qwen-72B_Round2,Llama-70B_Round1,Llama-70B_Round2,MedGemma-27B_Round1,MedGemma-27B_Round2,Human_Majority_Round1,Human_Majority_Round2
ID0002,jama,yes,D,D,,D,D,D,D,D,,D,D,,,D,D
ID0003,medxpert,yes,G,G,G,D,D,D,D,D,,C,G,,,G,E
ID0010,medxpert,yes,H,H,H,H,H,H,H,H,H,C,H,,H,D,H
ID0013,mmlu,yes,B,B,B,B,B,B,B,B,B,C,B,,,B,B
ID0016,jama,yes,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B
ID0018,jama,yes,D,D,D,D,D,D,D,,D,C,D,,,D,D
ID0021,jama,yes,B,B,B,B,B,A,A,C,C,B,C,,,B,B
ID0024,mmlu,yes,B,B,B,B,B,B,B,,B,D,B,,B,B,B
ID0025,medxpert,yes,F,F,F,,F,B,B,G,,D,B,,,F,C
ID0027,mmlu,yes,D,D,D,D,D,D,D,D,D,B,D,D,D,D,D
ID0028,medbullets,yes,A,A,A,A,A,D,D,D,A,D,A,A,,A,D
ID0029,medbullets,yes,A,A,A,A,A,C,A,A,A,B,A,,,A,A
ID0032,medbullets,yes,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
ID0034,medbullets,yes,A,A,A,A,A,A,A,A,A,D,A,A,A,A,A
ID0039,mmlu,yes,B,B,B,B,B,B,B,B,B,C,B,B,B,B,B
ID0041,jama,yes,A,A,A,A,A,,C,A,A,D,A,,,A,A
ID0042,medxpert,yes,B,B,B,,C,C,C,B,C,D,C,,,I,A
ID0045,medxpert,yes,D,D,D,D,A,A,E,F,A,B,A,A,E,D,D
ID0046,medbullets,yes,D,D,D,D,D,B,D,D,D,B,D,,,D,C
ID0047,jama,yes,A,A,A,A,A,A,A,A,A,C,A,,,A,A
ID0048,medbullets,yes,D,D,D,B,D,D,D,D,,B,D,C,D,C,D
ID0056,medxpert,yes,D,D,D,D,D,D,D,D,D,D,D,,,D,D
ID0057,mmlu,yes,D,D,D,D,D,A,C,D,,C,D,B,B,D,D
ID0059,mmlu,yes,B,B,B,B,A,B,B,B,B,D,B,B,B,B,B
ID0060,jama,yes,C,C,C,C,C,D,A,C,A,B,A,,D,C,C
ID0062,jama,yes,B,B,B,B,B,B,B,B,B,C,B,B,B,B,B
ID0063,medxpert,yes,B,B,B,,J,J,J,B,,D,J,,,B,B
ID0067,medbullets,yes,A,A,A,A,A,A,A,A,A,B,D,A,A,A,A
ID0069,jama,yes,D,D,D,D,D,D,D,D,D,A,D,,,D,D
ID0071,medxpert,yes,D,H,H,H,E,G,E,E,E,C,E,,,A,A
ID0073,medxpert,yes,G,G,G,D,D,G,G,G,G,D,G,D,G,G,F
ID0074,mmlu,yes,C,C,C,C,C,C,C,C,,C,C,,,C,C
ID0082,medbullets,yes,B,B,B,B,B,B,B,B,B,C,B,,B,B,B
ID0085,medxpert,yes,J,E,I,,I,E,E,I,E,A,E,E,E,J,D
ID0092,medxpert,yes,B,B,J,J,J,H,J,B,B,D,B,,,J,J
ID0093,jama,yes,C,C,C,C,C,C,C,C,,A,C,,,C,B
ID0094,jama,yes,C,C,C,C,C,C,C,C,C,A,C,,,C,C
ID0096,medxpert,yes,E,E,E,,D,D,D,D,D,B,D,,,E,H
ID0098,mmlu,yes,D,D,D,D,D,D,C,D,D,B,D,C,C,D,D
ID0110,jama,yes,B,B,B,B,B,B,A,C,B,C,B,,,B,B
ID0111,medbullets,yes,D,D,D,D,D,D,D,D,D,B,D,D,D,D,A
ID0112,medxpert,yes,D,D,D,,D,B,B,F,G,C,G,A,A,D,B
ID0113,mmlu,yes,D,D,D,D,D,D,D,D,D,B,D,,D,D,D
ID0115,medbullets,yes,D,B,B,B,B,B,D,B,B,D,B,A,,D,B
ID0116,jama,yes,A,C,A,C,C,C,A,C,,D,A,,C,A,C
ID0117,mmlu,yes,D,D,D,D,D,A,B,B,B,B,B,,B,B,A
ID0122,mmlu,yes,D,D,D,D,D,D,D,D,A,C,D,,,D,D
ID0127,jama,yes,B,B,B,C,C,D,C,D,D,B,D,,,C,C
ID0129,mmlu,yes,A,A,A,A,A,A,A,A,A,C,C,A,A,A,A
ID0133,jama,yes,D,D,D,D,D,D,D,D,D,D,D,,,D,D
ID0136,mmlu,yes,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B
