Origin,data_source_corr_x,q1_majority,Correct answer,matches_correct
ID0002,jama,d',D,True
ID0003,medxpert,e',G,False
ID0010,medxpert,h',H,True
ID0013,mmlu,b',B,True
ID0016,jama,b',B,True
ID0018,jama,d',D,True
ID0021,jama,b',B,True
ID0024,mmlu,b',B,True
ID0025,medxpert,c',F,False
ID0027,mmlu,d',D,True
ID0028,medbullets,d',A,False
ID0029,medbullets,a',A,True
ID0032,medbullets,d',D,True
ID0034,medbullets,a',A,True
ID0039,mmlu,b',B,True
ID0041,jama,a',A,True
ID0042,medxpert,a',B,False
ID0045,medxpert,d',D,True
ID0046,medbullets,c',D,False
ID0047,jama,a',A,True
ID0048,medbullets,d',D,True
ID0056,medxpert,d',D,True
ID0057,mmlu,d',D,True
ID0059,mmlu,b',B,True
ID0060,jama,c',C,True
ID0062,jama,b',B,True
ID0063,medxpert,b',B,True
ID0067,medbullets,a',A,True
ID0069,jama,d',D,True
ID0071,medxpert,a',D,False
ID0073,medxpert,f',G,False
ID0074,mmlu,c',C,True
ID0082,medbullets,b',B,True
ID0085,medxpert,d',J,False
ID0092,medxpert,j',B,False
ID0093,jama,b',C,False
ID0094,jama,c',C,True
ID0096,medxpert,h',E,False
ID0098,mmlu,d',D,True
ID0110,jama,b',B,True
ID0111,medbullets,a',D,False
ID0112,medxpert,b',D,False
ID0113,mmlu,d',D,True
ID0115,medbullets,b',D,False
ID0116,jama,c',A,False
ID0117,mmlu,a',D,False
ID0122,mmlu,d',D,True
ID0127,jama,c',B,False
ID0129,mmlu,a',A,True
ID0133,jama,d',D,True
ID0136,mmlu,b',B,True
ID0137,medxpert,d',D,True
ID0140,medxpert,g',G,True
ID0141,medxpert,a',I,False
ID0148,medxpert,c',C,True
ID0149,jama,b',B,True
ID0150,jama,a',A,True
ID0151,medxpert,j',J,True
ID0152,medbullets,c',C,True
ID0153,jama,d',D,True
ID0154,mmlu,a',A,True
ID0155,jama,c',C,True
ID0161,jama,c',C,True
ID0162,medbullets,d',A,False
