Base Model,Low+Irr Labelers,MMLU,Jama,MedXpert,Medbullets,Total,MMLU_STD,JAMA_STD,MedXpert_STD,MedBullets_STD,Total_STD
Trainee,Original Accuracy,89.6,67.9,50.0,75.4,68.0,30.6,46.7,50.1,43.2,46.7
Trainee,Trainee Removed (248 QAs),89.3,64.5,59.5,76.4,67.2,15.8,21.9,24.5,23.1,24.4
Physician,Original Accuracy,87.1,59.1,44.6,74.2,62.4,33.4,49.2,49.8,43.9,48.5
GPT4o,Original Accuracy,95.6,68.5,16.4,74.5,39.3,20.6,46.5,37,43.7,33.6
GPT4o,Trainee Removed,96.4,78.7,41.2,84.1,73.0,18.7,40.9,49.3,36.7,18.7
GPT4o,Qwen-14B Removed,95.3,76.8,40.3,79.7,71.1,21.1,42.2,49.1,40.3,23.3
GPT4o,Qwen-72B Removed,93.8,72.5,76.8,41.0,72.3,24.2,44.7,42.3,49.3,44.8
GPT4o,Llama-70b Removed,93.2,69.2,74.6,38.8,69.8,25.3,46.2,43.6,48.9,46
GPT4o,GPT-4o Removed,95.9,76.0,41.5,82.1,71.5,20,42.8,49.4,38.4,23.1
GPT4o,GPT5 Removed,95.9,77.8,40.3,80.2,71.7,20,41.2,49.1,40,23.6
GPT 5,Original Accuracy,98.5,88.3,69.2,93.7,86.0,12.4,32.2,46.3,24.3,12.8
GPT 5,Trainee Removed,90.2,84.4,68.2,90.3,82.2,29.9,36.4,46.6,29.6,10.4
GPT 5,Qwen-14B Removed,88.1,86.6,65.7,87,81.8,32.5,34.1,47.5,33.8,10.8
GPT 5,Qwen-72B Removed,87.1,82.3,61.9,79.2,77.7,33.7,37.9,48.6,40.7,11
GPT 5,Llama-70b Removed,88.1,82.0,56.8,75.4,75.7,32.5,38.5,49.6,43.2,13.5
GPT 5,GPT-4o Removed,83.9,85.2,62.9,83.6,79.3,36.8,35.5,48.4,37.1,10.7
GPT 5,GPT5 Removed ,97.9,86.6,67.0,91.3,84.2,14.3,34.1,47.1,28.3,13.3
Qwen-14B,Original Accuracy,66.9,45.2,12.0,40.9,26.3,47.1,49.8,32.5,49.3,44
Qwen-14B,Trainee Removed,66.3,52.8,21.1,44.4,45.7,47.4,50,40.8,49.8,49.8
Qwen-14B,Qwen-14B Removed,87.6,64.4,21.4,62.3,57,33.1,47.9,41.1,48.6,49.5
Qwen-14B,Qwen-72B Removed,86.0,61.5,23.8,63.8,56.4,34.8,48.7,42.7,48.2,49.6
Qwen-14B,Llama-70b Removed,75.6,62.7,11.4,30.9,47.1,43,48.4,31.9,46.3,50
Qwen-14B,GPT-4o Removed,84.5,64.6,23.6,59.9,56.8,36.3,47.9,42.5,49.1,49.6
Qwen-14B,GPT5 Removed,82.9,63.6,26.1,62.8,57.2,37.7,48.2,44,48.5,49.5
Qwen 72B,Original Accuracy,90.4,56.7,16.5,16.5,35.1,29.5,49.6,37.1,37.1,47.7
Qwen 72B,Trainee Removed,76.2,60.1,22.3,62.8,53.7,42.7,49,41.7,48.5,49.9
Qwen 72B,Qwen-14B Removed,83.4,64.6,25.8,64.3,57.9,37.3,47.9,43.8,48,49.4
Qwen 72B,Qwen-72B Removed,83.9,63.6,25.1,63.8,57.3,36.8,48.2,43.4,48.2,49.5
Qwen 72B,Llama-70b Removed,83.9,64.8,27.9,65.2,58.8,36.8,47.8,44.9,47.7,49.2
Qwen 72B,GPT-4o Removed,88.6,67.2,26.7,68.1,60.6,31.9,47,44.3,46.7,48.9
Qwen 72B,GPT5 Removed,83.4,60.7,23.2,60.7,54.3,37.3,48.9,43.3,48.9,49.8
Llama-70B,Original Accuracy,93.8,67.2,29.5,71.0,62.6,24.2,47,45.7,45.5,48.4
Llama-70B,Trainee Removed,61.7,52.2,21.4,48.8,45.5,48.8,50,41.1,50.1,49.8
Llama-70B,Qwen-14B Removed,90.2,67.5,30.8,70,62.4,29.9,46.9,46.2,45.9,48.5
Llama-70B,Qwen-72B Removed,92.7,67.7,30.2,71.0,62.8,26,46.8,46,45.5,48.3
Llama-70B,Llama-70b Removed,90.2,67.5,30.8,70.0,62.4,29.9,46.9,46.2,45.9,48.5
Llama-70B,GPT-4o Removed,93.8,70.3,34.0,71.5,65.1,24.2,45.7,47.4,45.3,47.7
Llama-70B,GPT5 Removed,91.7,69.4,33.3,72.0,64.3,27.6,46.1,47.2,45,47.9
MedGemma-27B,Original Accuracy,48.2,10.1,11.9,33.3,19.9,50.1,30.2,32.5,47.3,40
MedGemma-27B,Trainee Removed,58.5,38.3,15.7,50.7,37.8,49.4,48.7,36.4,50.1,48.5
MedGemma-27B,Qwen-14B Removed,72,44,6.3,44,38.9,45,49.7,24.3,49.8,48.8
MedGemma-27B,Qwen-72B Removed,86.4,63.1,33.8,69.4,63.4,34.4,48.3,47.4,46.2,48.2
MedGemma-27B,Llama-70b Removed,83.2,61.7,34,66.7,61.4,37.5,48.7,47.5,47.3,48.7
MedGemma-27B,GPT-4o Removed,74.6,44.2,22.3,59.9,45.9,43.6,49.7,41.7,49.1,49.9
MedGemma-27B,GPT5 Removed,56.5,42.4,17.6,54.6,40.4,49.7,49.5,38.2,49.9,49.1
