Unnamed: 0_original,ID_corr,centaur_question_corr_original,answer_corr_original,data_source_corr_original,majority_vote_original,run1_response_original,run2_response_original,run3_response_original,question_options_original,label_1,label_2,label_3,label_4,label_5,label_6,label_7,label_8,label_9,label_10,label_11,label_12,label_13,label_14,label_15,label_16,label_17,label_18,label_19,label_20,label_21,Unnamed: 0_physician,centaur_question_corr_physician,answer_corr_physician,data_source_corr_physician,majority_vote_physician,run1_response_physician,run2_response_physician,run3_response_physician,num_responses,question_options_physician,majority_vote_original_letter,majority_vote_physician_letter,answer_letter,correct_round1,correct_round2
31,ID0054,"1. A 24-year-old woman who worked on a farm in Connecticut developed fever, chills, vomiting, and a truncal maculopapular rash 3 weeks before presentation.
2. One week after symptom onset, she remained febrile (maximum temperature, 39.6°C [103.2°F]) and the rash spread to her palms and soles, with some progression to pustules (Figure, left panel).
3. She developed right knee pain, followed by pain in other joints.
4. Two weeks after symptom onset, she presented to a local emergency department, reporting inability to stand due to severe joint pain.
5. Results of tests for sexually transmitted infections and respiratory viruses were negative.
6. She was presumptively diagnosed with a viral illness and discharged home with supportive care.
7. Approximately 3 weeks after symptom onset, she presented to the emergency department again with persistent fever, worsening arthralgia, back pain, and progressive purpuric and pustular rash.
8. Her vital signs were unremarkable.
9. White blood cell count was 12 100/μL (reference range, 4000/μL-10 000/μL), with 84% neutrophils.
10. Urinalysis results and levels of serum electrolytes and liver enzymes were within normal limits.
11. Gram stain of blood culture is shown in the Figure (right panel).",A,jama,A,A,A,B,"What Would You Do Next?

A: Inquire about rodent and other animal exposures  
B: Obtain joint fluid for bacterial analysis and cultures  
C: Test for Borrelia burgdorferi  
D: Test vesicular fluid for enterovirus",High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,Low Relevance,High Relevance,Irrelevant,Low Relevance,Irrelevant,High Relevance,,,,,,,,,,,31,"['1. A 24-year-old woman who worked on a farm in Connecticut developed fever, chills, vomiting, and a truncal maculopapular rash 3 weeks before presentation.', '2. One week after symptom onset, she remained febrile (maximum temperature, 39.6°C [103.2°F]) and the rash spread to her palms and soles, with some progression to pustules (Figure, left panel).', '3. She developed right knee pain, followed by pain in other joints.', '4. Two weeks after symptom onset, she presented to a local emergency department, reporting inability to stand due to severe joint pain.', '7. Approximately 3 weeks after symptom onset, she presented to the emergency department again with persistent fever, worsening arthralgia, back pain, and progressive purpuric and pustular rash.', '9. White blood cell count was 12\u202f100/μL (reference range, 4000/μL-10\u202f000/μL), with 84% neutrophils.', '11. Gram stain of blood culture is shown in the Figure (right panel).']",A,jama,<answer>Option B</answer>,<answer>Option B</answer>,<answer>Option B</answer>,<answer>Option A</answer>,3,"What Would You Do Next?

A: Inquire about rodent and other animal exposures  
B: Obtain joint fluid for bacterial analysis and cultures  
C: Test for Borrelia burgdorferi  
D: Test vesicular fluid for enterovirus",A,B,A,True,False
82,ID0135,"1. A 31-year-old man presents to the emergency department for fever, malaise, and cough.
2. For the last week, his cough has been progressively worsening, and he has been noticing blood in his sputum.
3. He denies any recent travel or sick contacts and infrequently smokes cigarettes.
4. Approximately 5 weeks ago, he presented with similar symptoms and was found to have a right upper lobe lung infiltrate, a CD4 count of 40/mm^3, and an HIV viral load of 115,000 copies/mL.
5. He was appropriately treated and discharged home.
6. Four weeks after initiation of treatment, his CD4 count was over 400/mm^3 and HIV viral load was negligible.
7. His temperature today is 102°F (38.9°C), blood pressure is 130/90 mmHg, pulse is 100/min, and respirations are 20/min.
8. A radiograph of the chest demonstrates new nodules in the left upper lobe and hilar adenopathy.",A,medbullets,A,A,A,A,"Which of the following is the most appropriate next step in management?

A. Continue current anti-retroviral treatment, antimicrobial, and anti-tuberculoid therapies  
B. Determine drug sensitivities against the patient’s pulmonary infection  
C. Discontinue antimicrobial treatment  
D. Obtain a D-dimer level",Low Relevance,Low Relevance,Irrelevant,High Relevance,Low Relevance,High Relevance,Low Relevance,High Relevance,,,,,,,,,,,,,,82,"['1. A 31-year-old man presents to the emergency department for fever, malaise, and cough.', '2. For the last week, his cough has been progressively worsening, and he has been noticing blood in his sputum.', '3. He denies any recent travel or sick contacts and infrequently smokes cigarettes.', '4. Approximately 5 weeks ago, he presented with similar symptoms and was found to have a right upper lobe lung infiltrate, a CD4 count of 40/mm^3, and an HIV viral load of 115,000 copies/mL.', '5. He was appropriately treated and discharged home.']",A,medbullets,<answer>Option B</answer>,<answer>Option B</answer>,<answer>Option A</answer>,<answer>Option A</answer>,3,"Which of the following is the most appropriate next step in management?

A. Continue current anti-retroviral treatment, antimicrobial, and anti-tuberculoid therapies  
B. Determine drug sensitivities against the patient’s pulmonary infection  
C. Discontinue antimicrobial treatment  
D. Obtain a D-dimer level",A,B,A,True,False
109,ID0172,"1. A man in his 60s with a medical history of hypertension, cerebrovascular accident, colon cancer, and remote cocaine use presented with numerous pruritic crusted papules and nodules on the face and genitals.  
2. The eruption presented abruptly over a 2-week course, and the patient attributed it to contact with plants while working in his yard.  
3. He denied having similar lesions in the past.  
4. He had used over-the-counter topical antibiotic and antihistamine creams, which alleviated the pruritus.  
5. He denied recent sexual intercourse, penile discharge, fevers, chills, nausea, or vomiting.  
6. Physical examination of the bilateral cheeks, glabella, dorsal nose, and chin revealed multiple skin-colored papules, nodules, and vegetative plaques ranging in size from 4 to 6 mm in diameter, with central umbilication, erosions, and overlying yellow crust (Figure, A).  
7. There were similar lesions on the scrotum and inner thighs, with sparing of the penis (Figure, B).  
8. There was also a 1-cm ulceration on the left lower lip.  
9. The palms and soles were spared.  
10. There was no lymphadenopathy noted.  
11. One 4-mm punch biopsy specimen was obtained from a nodule on the left medial cheek, bisectioned, and sent for both hematoxylin–eosin staining and tissue cultures for bacteria, fungi, and atypical mycobacteria (Figure, C and D).  
12. A, Multiple crusted and ulcerative papules and nodules on the face.  
13. B, Multiple ulcerated healing papules on the scrotum and umbilicated papules on the left inner thigh.  
14. C, Low-power image (hematoxylin-eosin, original magnification ×40).  
15. D, A Warthin-Starry silver impregnation stain (original magnification ×40).",D,jama,D,D,D,D,"What Is Your Diagnosis?

A: Atypical mycobacterium infection  
B: Cryptococcal infection  
C: Eruptive keratoacanthomas  
D: Secondary syphilis",High Relevance,Low Relevance,Low Relevance,Irrelevant,Low Relevance,High Relevance,High Relevance,High Relevance,Low Relevance,Low Relevance,Low Relevance,High Relevance,High Relevance,Irrelevant,High Relevance,,,,,,,109,"['1. A man in his 60s with a medical history of hypertension, cerebrovascular accident, colon cancer, and remote cocaine use presented with numerous pruritic crusted papules and nodules on the face and genitals.  ', '2. The eruption presented abruptly over a 2-week course, and the patient attributed it to contact with plants while working in his yard.  ', '5. He denied recent sexual intercourse, penile discharge, fevers, chills, nausea, or vomiting.  ', '6. Physical examination of the bilateral cheeks, glabella, dorsal nose, and chin revealed multiple skin-colored papules, nodules, and vegetative plaques ranging in size from 4 to 6 mm in diameter, with central umbilication, erosions, and overlying yellow crust (Figure, A).  ', '7. There were similar lesions on the scrotum and inner thighs, with sparing of the penis (Figure, B).  ', '8. There was also a 1-cm ulceration on the left lower lip.  ', '10. There was no lymphadenopathy noted.  ', '11. One 4-mm punch biopsy specimen was obtained from a nodule on the left medial cheek, bisectioned, and sent for both hematoxylin–eosin staining and tissue cultures for bacteria, fungi, and atypical mycobacteria (Figure, C and D).  ', '12. A, Multiple crusted and ulcerative papules and nodules on the face.  ', '14. C, Low-power image (hematoxylin-eosin, original magnification ×40).  ']",D,jama,<answer>Option C</answer>,<answer>Option C</answer>,<answer>Option C</answer>,<answer>Option C</answer>,3,"What Is Your Diagnosis?

A: Atypical mycobacterium infection  
B: Cryptococcal infection  
C: Eruptive keratoacanthomas  
D: Secondary syphilis",D,C,D,True,False
130,ID0215,"1. A 29-year-old white woman presented for a second opinion of left eye pain, blurred vision, and photophobia.  
2. Six weeks before, she received eyebrow laser epilation with an 800-nm diode laser (LightSheer; Lumenis).  
3. During the session, the physician assistant removed the metal eye shield for better exposure, immediately after which the patient developed eye pain and blurred vision.  
4. She was initially treated for acute iritis with difluprednate, 4 times daily, which was tapered to once daily, with minimal improvement in her symptoms.  
5. The patient reported a negative review of systems and denied recent travel, trauma, use of antibiotics, or pregnancy.  
6. Her examination was notable for best-corrected visual acuity of 20/20 OU, anterior chamber (AC) pigment and flare in the left eye, and iris irregularities, including decreased iris reactivity, peripupillary transillumination defects (Figure, A), and posterior synechiae.  
7. She had mild intraocular pressure (IOP) asymmetry of 12 mm Hg OD and 17 mm Hg OS.A, An irregular pupil, iris atrophy, and peripupillary transillumination defects are observed.  
8. B, After discontinuation of the cycloplegic agent, posterior concavity of the iris and iris-lens touch consistent with reverse pupillary block are observed.Gonioscopy revealed increased trabecular meshwork pigmentation in the left eye.  
9. Ultrasonographic biomicroscopy and anterior segment optical coherence tomography demonstrated a normal anterior segment in the right eye and posterior bowing of the iris and lens-iris touch (Figure, B) with a normal AC depth in the left eye.  
10. Optical biometry (Lenstar LS 900; Haag-Streit) was unremarkable bilaterally, with normal axial length, AC depth, and lens thickness.Further taper her corticosteroid dosage and start a cycloplegic agent to break posterior synechiaePerform AC paracentesis and send fluid for viral polymerase chain reaction analysis",B,jama,B,B,B,B,"What Would You Do Next?

A: Increase her topical corticosteroid dosage  
B: Further taper her corticosteroid dosage and start a cycloplegic agent to break posterior synechiae  
C: Perform AC paracentesis and send fluid for viral polymerase chain reaction analysis  
D: Perform urgent peripheral iridotomy given IOP asymmetry",Low Relevance,High Relevance,High Relevance,High Relevance,Irrelevant,High Relevance,High Relevance,High Relevance,High Relevance,Irrelevant,,,,,,,,,,,,130,"['1. A 29-year-old white woman presented for a second opinion of left eye pain, blurred vision, and photophobia.  ', '2. Six weeks before, she received eyebrow laser epilation with an 800-nm diode laser (LightSheer; Lumenis).  ', '3. During the session, the physician assistant removed the metal eye shield for better exposure, immediately after which the patient developed eye pain and blurred vision.  ', '4. She was initially treated for acute iritis with difluprednate, 4 times daily, which was tapered to once daily, with minimal improvement in her symptoms.  ', '6. Her examination was notable for best-corrected visual acuity of 20/20 OU, anterior chamber (AC) pigment and flare in the left eye, and iris irregularities, including decreased iris reactivity, peripupillary transillumination defects (Figure, A), and posterior synechiae.  ', '8. B, After discontinuation of the cycloplegic agent, posterior concavity of the iris and iris-lens touch consistent with reverse pupillary block are observed.Gonioscopy revealed increased trabecular meshwork pigmentation in the left eye.  ', '9. Ultrasonographic biomicroscopy and anterior segment optical coherence tomography demonstrated a normal anterior segment in the right eye and posterior bowing of the iris and lens-iris touch (Figure, B) with a normal AC depth in the left eye.  ']",B,jama,<answer>Option D</answer>,<answer>Option D</answer>,<answer>Option D</answer>,<answer>Option D</answer>,3,"What Would You Do Next?

A: Increase her topical corticosteroid dosage  
B: Further taper her corticosteroid dosage and start a cycloplegic agent to break posterior synechiae  
C: Perform AC paracentesis and send fluid for viral polymerase chain reaction analysis  
D: Perform urgent peripheral iridotomy given IOP asymmetry",B,D,B,True,False
145,ID0240,"1. A 61-year-old woman with a history of hypertension presented for evaluation of exertional left calf discomfort.
2. Six months prior to presentation, she developed a dull pain in her left calf while climbing stairs.
3. After climbing 2 flights of stairs, she had to stop and rest for approximately 15 seconds.
4. She reported no pain at rest.
5. The patient’s symptoms worsened and began interfering with her work.
6. On physical examination, her heart rate was 82/min and blood pressure was 140/89 mm Hg.
7. Her lower extremities were warm, with strength for femoral, popliteal, dorsalis pedis, and posterior tibial pulses at 2+ bilaterally.
8. She had no history of spinal degenerative disease and did not have lower extremity arterial bruits, wounds, sensory deficits, edema, or hair loss.
9. Results of an exercise treadmill ankle-brachial index (ABI) test are shown in the Table.",A,jama,A,A,A,A,"What Would You Do Next?

A: Diagnose the patient with peripheral artery disease (PAD) and begin medical management  
B: Order a lower extremity angiogram  
C: Order a lower extremity arterial duplex ultrasound  
D: Reassure the patient that her pain is nonvascular in origin",High Relevance,High Relevance,High Relevance,High Relevance,Low Relevance,Irrelevant,Low Relevance,Low Relevance,High Relevance,,,,,,,,,,,,,145,"['1. A 61-year-old woman with a history of hypertension presented for evaluation of exertional left calf discomfort.', '2. Six months prior to presentation, she developed a dull pain in her left calf while climbing stairs.', '3. After climbing 2 flights of stairs, she had to stop and rest for approximately 15 seconds.', '4. She reported no pain at rest.', '5. The patient’s symptoms worsened and began interfering with her work.', '6. On physical examination, her heart rate was 82/min and blood pressure was 140/89 mm Hg.', '7. Her lower extremities were warm, with strength for femoral, popliteal, dorsalis pedis, and posterior tibial pulses at 2+ bilaterally.']",A,jama,<answer>Option C</answer>,<answer>Option C</answer>,<answer>Option C</answer>,<answer>Option C</answer>,3,"What Would You Do Next?

A: Diagnose the patient with peripheral artery disease (PAD) and begin medical management  
B: Order a lower extremity angiogram  
C: Order a lower extremity arterial duplex ultrasound  
D: Reassure the patient that her pain is nonvascular in origin",A,C,A,True,False
170,ID0284,"1. A 74-year-old woman with a history of hyperlipidemia presents with a 6-month history of activity-induced right-arm pain and achiness accompanied by localized muscle fatigue, which has progressively worsened.
2. She also reports generalized fatigue for the past 4 months.
3. The pain is triggered by activity and resolves with rest.
4. She denies any smoking history.
5. Two weeks ago, she experienced transient vision loss in her right eye and underwent an unremarkable MRI of the brain and ophthalmologic evaluation.
6. On physical examination, her blood pressure is 106/74 mm Hg in the right arm and 132/86 mm Hg in the left arm.
7. A diminished radial pulse is noted in the right arm.
8. Laboratory tests reveal a normal complete blood count and chemistry panel, but her erythrocyte sedimentation rate is elevated at 64 mm/hour (reference range, 1–25).",I,medxpert,I,I,I,I,"What is the most likely diagnosis in this patient?

A. Buerger disease  
B. Atherosclerotic peripheral artery disease  
C. Fibromuscular dysplasia  
D. Polymyalgia rheumatica  
E. Raynaud phenomenon  
F. Subclavian steal syndrome  
G. Thoracic-outlet obstruction  
H. Carotid artery stenosis  
I. Giant-cell arteritis  
J. Takayasu arteritis",High Relevance,Low Relevance,High Relevance,Low Relevance,High Relevance,High Relevance,High Relevance,High Relevance,,,,,,,,,,,,,,170,"['1. A 74-year-old woman with a history of hyperlipidemia presents with a 6-month history of activity-induced right-arm pain and achiness accompanied by localized muscle fatigue, which has progressively worsened.', '3. The pain is triggered by activity and resolves with rest.', '5. Two weeks ago, she experienced transient vision loss in her right eye and underwent an unremarkable MRI of the brain and ophthalmologic evaluation.', '6. On physical examination, her blood pressure is 106/74 mm Hg in the right arm and 132/86 mm Hg in the left arm.', '7. A diminished radial pulse is noted in the right arm.']",I,medxpert,<answer>Option F</answer>,<answer>Option F</answer>,<answer>Option I</answer>,<answer>Option F</answer>,3,"What is the most likely diagnosis in this patient?

A. Buerger disease  
B. Atherosclerotic peripheral artery disease  
C. Fibromuscular dysplasia  
D. Polymyalgia rheumatica  
E. Raynaud phenomenon  
F. Subclavian steal syndrome  
G. Thoracic-outlet obstruction  
H. Carotid artery stenosis  
I. Giant-cell arteritis  
J. Takayasu arteritis",I,F,I,True,False
215,ID0356,"1. A 68-year-old woman with a history of uterine carcinoma (unknown histology) diagnosed and treated 30 years prior with hysterectomy and adjuvant chemotherapy in another country presented with 2 months of generalized abdominal pain and distention.
2. She had no fevers, nausea, vomiting, diarrhea, constipation, blood in the stool, or weight loss.
3. She was not taking any medications.
4. On examination, her temperature was 36.9 °C; heart rate, 72/min; blood pressure, 132/68 mm Hg; and body mass index, 25 (calculated as weight in kilograms divided by height in meters squared).
5. Results of complete blood cell count and serum chemistries were unremarkable, with no leukocytosis and normal differential count.
6. Abdominal examination demonstrated mild distention without fluid wave and mild right lower abdomen and suprapubic tenderness.
7. Computed tomography (Figure 1) and magnetic resonance imaging demonstrated pelvic ascites and an enhancing lesion at the base of the cecum.
8. Two attempts at ultrasound-guided paracentesis were nondiagnostic because of acellular specimens.
9. Serum CA-125 level was normal; carcinoembryonic antigen (CEA) level was 18 ng/mL (reference, <5 ng/mL).",A,jama,A,A,A,A,"What Would You Do Next?

A: Perform laparoscopic appendectomy and peritoneal biopsy  
B: Order repeat image-guided paracentesis/cytology  
C: Order colonoscopy with biopsy  
D: Order broad-spectrum antibiotics to cover gram-negative and anaerobic enteric species",Low Relevance,Low Relevance,Irrelevant,Low Relevance,Low Relevance,Low Relevance,High Relevance,High Relevance,High Relevance,,,,,,,,,,,,,215,"['1. A 68-year-old woman with a history of uterine carcinoma (unknown histology) diagnosed and treated 30 years prior with hysterectomy and adjuvant chemotherapy in another country presented with 2 months of generalized abdominal pain and distention.', '7. Computed tomography (Figure 1) and magnetic resonance imaging demonstrated pelvic ascites and an enhancing lesion at the base of the cecum.']",A,jama,<answer>Option C</answer>,<answer>Option C</answer>,<answer>Option C</answer>,<answer>Option C</answer>,3,"What Would You Do Next?

A: Perform laparoscopic appendectomy and peritoneal biopsy  
B: Order repeat image-guided paracentesis/cytology  
C: Order colonoscopy with biopsy  
D: Order broad-spectrum antibiotics to cover gram-negative and anaerobic enteric species",A,C,A,True,False
229,ID0377,"1. A 19-year-old man presented with recurrent left eye redness and photophobia for the past year.
2. The patient had previously been treated with topical corticosteroid therapy, which provided temporary relief of his symptoms.
3. Visual acuity was 20/20 OU with normal intraocular pressures.
4. The results from the slitlamp examination of the right eye were within normal limits (Figure 1A).
5. Examination results of the left eye demonstrated 2+ diffuse conjunctival hyperemia, 1+ anterior chamber cell, and a vascularized iris infiltrate (Figure 1B).
6. Results of the dilated fundus examination were within normal limits in both eyes.
7. Ultrasound biomicroscopy of the left eye demonstrated areas of ciliary body thickening 360° and a thickened iris pupillary margin superiorly and nasally.
8. A full review of systems was negative for other abnormalities including skin lesions.
9. Test results for tuberculosis and syphilis were negative.",A,jama,A,A,C,A,"What Would You Do Next?

A: Perform biopsy of the iris lesion  
B: Administer subtenon corticosteroid injection  
C: Perform anterior chamber paracentesis for viral polymerase chain reaction  
D: Screen for antinuclear antibody",High Relevance,Low Relevance,High Relevance,Low Relevance,High Relevance,Low Relevance,High Relevance,Low Relevance,High Relevance,,,,,,,,,,,,,229,"['1. A 19-year-old man presented with recurrent left eye redness and photophobia for the past year.', '2. The patient had previously been treated with topical corticosteroid therapy, which provided temporary relief of his symptoms.', '5. Examination results of the left eye demonstrated 2+ diffuse conjunctival hyperemia, 1+ anterior chamber cell, and a vascularized iris infiltrate (Figure 1B).', '7. Ultrasound biomicroscopy of the left eye demonstrated areas of ciliary body thickening 360° and a thickened iris pupillary margin superiorly and nasally.']",A,jama,<answer>Option C</answer>,<answer>Option C</answer>,<answer>Option C</answer>,<answer>Option A</answer>,3,"What Would You Do Next?

A: Perform biopsy of the iris lesion  
B: Administer subtenon corticosteroid injection  
C: Perform anterior chamber paracentesis for viral polymerase chain reaction  
D: Screen for antinuclear antibody",A,C,A,True,False
301,ID0494,"1. A young man in his late teens presented with numerous atrophic papules and plaques on his trunk and extremities that developed gradually over several years.
2. Although most were asymptomatic, the patient was concerned about the ongoing appearance of new lesions and the associated pain that some lesions were causing.
3. His medical history was significant for adenosine deaminase–deficient severe combined immunodeficiency (ADA-SCID), which had been managed since childhood with twice weekly intramuscular injections of pegademase bovine enzyme replacement, thrice weekly trimethoprim-sulfamethoxazole for Pneumocystis prophylaxis, and monthly infusions of intravenous immunoglobulin.
4. Physical examination revealed 9 smooth-surfaced, skin-colored to hyperpigmented, 0.5- to 1.5-cm atrophic papules and plaques that exhibited the buttonhole sign on palpation (Figure, A).
5. The multicentric lesions were located on the left knee, left thigh, bilateral chest, and back.
6. Punch biopsies of lesions on his trunk and extremities were sent for histopathological examination with hematoxylin-eosin (H&E) staining (Figure, B and C), immunohistochemical (IHC) studies, and molecular evaluation with reverse transcription polymerase chain reaction.A, The patient presented with 2 distinct, smooth-surfaced, 0.5- to 1.0-cm atrophic plaques with overlying hyperpigmentation on the left thigh.
7. Both lesions exhibited the buttonhole sign on palpation.
8. B and C, Histopathology shows poorly circumscribed hypercellular proliferation of spindle cells occupying the lower reticular dermis with lacelike infiltration of the subcutaneous fat (hematoxylin-eosin).
9. The somewhat whorled, uniform appearing spindle cells with mildly hyperchromatic, elongated, wavy nuclei surrounded by pale cytoplasm.
10. Mitotic figures and nuclear pleomorphism are uncommon.",C,jama,C,C,A,A,"What Is Your Diagnosis?

A: Neurofibroma  
B: Anetoderma  
C: Dermatofibrosarcoma protuberans, atrophic variant  
D: Medallionlike dermal dendrocyte hamartoma",Low Relevance,Low Relevance,Irrelevant,High Relevance,Low Relevance,Low Relevance,High Relevance,High Relevance,High Relevance,High Relevance,,,,,,,,,,,,301,"['1. A young man in his late teens presented with numerous atrophic papules and plaques on his trunk and extremities that developed gradually over several years.', '3. His medical history was significant for adenosine deaminase–deficient severe combined immunodeficiency (ADA-SCID), which had been managed since childhood with twice weekly intramuscular injections of pegademase bovine enzyme replacement, thrice weekly trimethoprim-sulfamethoxazole for Pneumocystis prophylaxis, and monthly infusions of intravenous immunoglobulin.', '4. Physical examination revealed 9 smooth-surfaced, skin-colored to hyperpigmented, 0.5- to 1.5-cm atrophic papules and plaques that exhibited the buttonhole sign on palpation (Figure, A).', '5. The multicentric lesions were located on the left knee, left thigh, bilateral chest, and back.', '6. Punch biopsies of lesions on his trunk and extremities were sent for histopathological examination with hematoxylin-eosin (H&E) staining (Figure, B and C), immunohistochemical (IHC) studies, and molecular evaluation with reverse transcription polymerase chain reaction.A, The patient presented with 2 distinct, smooth-surfaced, 0.5- to 1.0-cm atrophic plaques with overlying hyperpigmentation on the left thigh.', '7. Both lesions exhibited the buttonhole sign on palpation.', '9. The somewhat whorled, uniform appearing spindle cells with mildly hyperchromatic, elongated, wavy nuclei surrounded by pale cytoplasm.', '10. Mitotic figures and nuclear pleomorphism are uncommon.']",C,jama,<answer>Option A</answer>,<answer>Option A</answer>,<answer>Option A</answer>,<answer>Option A</answer>,3,"What Is Your Diagnosis?

A: Neurofibroma  
B: Anetoderma  
C: Dermatofibrosarcoma protuberans, atrophic variant  
D: Medallionlike dermal dendrocyte hamartoma",C,A,C,True,False
337,ID0551,"1. A 32-year-old male with a history of end-stage liver disease secondary to alcoholic cirrhosis was transferred to our hospital with a 2-week history of a skin rash that developed at an outside facility where he was being treated for hepatic encephalopathy.
2. He reported that the lesions began on his face, then spread to his thighs and were mildly pruritic.
3. He did not have any other involvement and was in no pain.
4. On physical exam, multiple 1 to 3 cm purple papules with central black and hemorrhagic crusting were noted on his forehead, bilateral cheeks, and anterior thighs (Figure 1, A and B).
5. On his left flank, he had a large polycyclic, atrophic hyperpigmented plaque with a slightly erythematous and scaly border (Figure 1C).
6. The scalp, oral mucosa, back, chest, abdomen, arms, palms and soles were all spared.
7. Multiple toenails were noted to be dystrophic with hyperkeratotic subungual debris.
8. Over the next few days, the crusted papules and nodules eroded leaving smooth erythematous plaques with punched-out centers.
9. Testing for the human immunodeficiency virus (HIV) and hepatitis was negative.
10. Punch biopsy specimens from the left anterior thigh were taken for histopathologic analysis and fungal, bacterial, and atypical mycobacterial tissue cultures.
11. A skin culture was obtained of the polycyclic plaque on his left flank.",B,jama,B,B,C,C,"What Is Your Diagnosis?

A: Kaposi sarcoma  
B: Disseminated tinea infection  
C: Bacillary angiomatosis  
D: Leukemia cutis",Low Relevance,Low Relevance,Low Relevance,High Relevance,High Relevance,Low Relevance,Low Relevance,High Relevance,High Relevance,Low Relevance,Low Relevance,,,,,,,,,,,337,"['1. A 32-year-old male with a history of end-stage liver disease secondary to alcoholic cirrhosis was transferred to our hospital with a 2-week history of a skin rash that developed at an outside facility where he was being treated for hepatic encephalopathy.', '4. On physical exam, multiple 1 to 3 cm purple papules with central black and hemorrhagic crusting were noted on his forehead, bilateral cheeks, and anterior thighs (Figure 1, A and B).', '5. On his left flank, he had a large polycyclic, atrophic hyperpigmented plaque with a slightly erythematous and scaly border (Figure 1C).', '7. Multiple toenails were noted to be dystrophic with hyperkeratotic subungual debris.', '8. Over the next few days, the crusted papules and nodules eroded leaving smooth erythematous plaques with punched-out centers.']",B,jama,<answer>Option C</answer>,<answer>Option C</answer>,<answer>Option [B]</answer>,<answer>Option B</answer>,2,"What Is Your Diagnosis?

A: Kaposi sarcoma  
B: Disseminated tinea infection  
C: Bacillary angiomatosis  
D: Leukemia cutis",B,C,B,True,False
