Origin,GPT4o_Round1,GPT4o_Round2,Ground_Truth,Qwen72B_Round1,Qwen72B_Round2,data_source,Qwen14B_Round1,Qwen14B_Round2,Llama70B_Round1,Llama70B_Round2
ID0002,D,D,D,D,D,jama,A,B,D,D
ID0003,D,D,G,G,G,medxpert,A,H,C,G
ID0007,A,B,B,A,A,medbullets,D,A,D,A
ID0009,D,D,D,D,B,jama,D,A,D,D
ID0010,H,H,H,H,H,medxpert,C,H,H,H
ID0013,B,B,B,B,B,mmlu,C,D,B,B
ID0015,C,C,C,C,C,jama,C,C,A,C
ID0016,B,B,B,B,B,jama,B,B,B,B
ID0017,C,D,C,B,B,jama,C,C,C,B
ID0018,D,D,D,D,D,jama,C,D,C,D
ID0021,B,B,B,C,C,jama,B,C,B,C
ID0024,B,B,B,B,B,mmlu,D,B,D,B
ID0025,<answer>Option (F)</answer>,F,F,B,B,medxpert,D,F,D,B
ID0027,D,D,D,D,D,mmlu,B,D,B,D
ID0028,A,A,A,A,A,medbullets,C,A,D,A
ID0029,A,A,A,A,A,medbullets,C,C,B,A
ID0030,B,B,B,B,B,jama,D,B,B,B
ID0032,D,D,D,D,D,medbullets,C,B,D,D
ID0034,A,A,A,A,A,medbullets,D,A,D,A
ID0039,B,B,B,B,B,mmlu,C,B,C,B
ID0041,A,A,A,A,A,jama,C,A,D,A
ID0042,<answer>Option (C)</answer>,C,B,C,C,medxpert,D,C,D,C
ID0043,D,D,C,C,C,jama,A,D,A,C
ID0044,B,B,B,B,B,jama,C,B,C,B
ID0045,D,A,D,A,F,medxpert,B,C,B,A
ID0046,D,D,D,D,D,medbullets,NONE,C,B,D
ID0047,A,A,A,A,A,jama,C,A,C,A
ID0048,B,D,D,D,D,medbullets,C,D,B,D
ID0049,B,B,B,B,B,jama,D,B,B,B
ID0052,B,B,C,C,C,jama,C,C,C,C
ID0053,G,G,H,G,G,medxpert,B,A,B,G
ID0054,A,A,A,B,B,jama,C,A,C,B
ID0055,B,B,A,B,B,medbullets,D,D,D,B
ID0056,D,D,D,D,D,medxpert,D,D,D,D
ID0057,D,D,D,D,D,mmlu,C,D,C,D
ID0059,B,A,B,B,B,mmlu,D,D,D,B
ID0060,C,C,C,A,D,jama,B,C,B,A
ID0062,B,B,B,B,B,jama,C,C,C,B
ID0063,<answer>Option (B)</answer>,J,B,J,B,medxpert,D,A,D,J
ID0064,D,D,D,D,D,mmlu,B,D,B,D
ID0067,A,A,A,D,A,medbullets,B,A,B,D
ID0069,D,D,D,D,D,jama,C,D,A,D
ID0071,H,E,D,E,C,medxpert,C,D,C,E
ID0072,C,C,C,C,C,jama,D,C,D,C
ID0073,D,D,G,G,G,medxpert,C,A,D,G
ID0074,C,C,C,C,C,mmlu,C,C,C,C
ID0076,B,C,C,C,C,jama,NONE,B,A,C
ID0078,B,B,B,B,B,medbullets,B,B,C,B
ID0079,B,B,B,B,B,jama,C,C,C,B
ID0081,C,C,D,C,C,jama,D,C,A,C
ID0082,B,B,B,B,B,medbullets,C,B,C,B
ID0085,<answer>Option (E)</answer>,I,J,E,E,medxpert,NONE,E,A,E
ID0086,<answer>Option (D)</answer>,D,H,D,E,medxpert,D,C,D,D
ID0088,B,B,B,C,D,jama,C,C,C,C
ID0089,A,A,A,A,A,jama,C,A,C,A
ID0092,J,J,B,B,B,medxpert,D,F,D,B
ID0093,C,C,C,C,C,jama,B,C,A,C
ID0094,C,C,C,C,C,jama,A,C,A,C
ID0096,<answer>Option (D)</answer>,D,E,D,D,medxpert,B,D,B,D
ID0097,D,D,D,D,D,jama,C,A,C,D
ID0098,D,D,D,D,D,mmlu,NONE,D,B,D
ID0099,<answer>Option (G)</answer>,G,E,D,D,medxpert,A,H,A,D
ID0101,A,A,A,A,A,medbullets,C,A,C,A
ID0102,D,C,D,C,C,medbullets,C,C,C,C
ID0106,C,D,C,A,A,medbullets,C,A,C,A
ID0108,C,C,C,A,A,jama,C,A,D,A
ID0109,A,A,A,A,A,jama,A,A,D,A
ID0110,B,B,B,B,B,jama,A,B,C,B
ID0111,D,D,D,D,D,medbullets,B,C,B,D
ID0112,<answer>Option (D)</answer>,D,D,G,A,medxpert,C,A,C,G
ID0113,D,D,D,D,D,mmlu,B,D,B,D
ID0115,B,B,D,B,B,medbullets,B,C,D,B
ID0116,C,C,A,A,C,jama,D,C,D,A
ID0117,D,D,D,B,B,mmlu,B,C,B,B
ID0119,C,A,D,C,D,jama,C,C,C,C
ID0122,D,D,D,D,D,mmlu,C,D,C,D
ID0124,B,C,C,C,C,jama,C,B,C,C
ID0125,B,C,D,B,A,jama,A,C,A,B
ID0127,C,C,B,D,D,jama,B,C,B,D
ID0129,A,A,A,C,A,mmlu,C,C,C,C
ID0130,C,C,C,D,A,jama,C,D,C,D
ID0133,D,D,D,D,D,jama,D,B,D,D
ID0135,B,B,A,B,B,medbullets,D,A,C,B
ID0136,B,B,B,B,B,mmlu,B,B,B,B
ID0137,<answer>Option (B)</answer>,G,D,A,A,medxpert,B,G,D,A
ID0140,J,D,G,D,H,medxpert,B,D,B,D
ID0141,I,G,I,A,A,medxpert,A,F,A,A
ID0142,C,C,C,C,A,jama,C,B,C,C
ID0144,B,B,A,B,B,medbullets,C,A,A,B
ID0146,A,A,A,A,A,jama,B,C,B,A
ID0147,B,B,B,B,B,jama,C,A,C,B
ID0148,C,F,C,I,C,medxpert,D,C,D,I
ID0149,B,B,B,B,B,jama,D,B,A,B
ID0150,C,A,A,C,A,jama,A,A,A,C
ID0151,J,J,J,J,J,medxpert,B,A,B,J
ID0152,A,A,C,B,B,medbullets,A,B,D,B
ID0153,D,D,D,D,D,jama,C,D,C,D
ID0154,A,A,A,A,A,mmlu,D,C,D,A
ID0155,C,C,C,C,C,jama,B,C,B,C
ID0157,C,C,C,C,C,jama,C,C,D,C
ID0161,C,C,C,C,C,jama,B,C,B,C
ID0162,A,A,A,D,A,medbullets,A,C,A,D
ID0163,A,A,C,B,B,jama,NONE,A,B,B
ID0164,B,B,B,B,B,mmlu,C,A,C,B
ID0165,J,J,I,I,J,medxpert,A,B,D,I
ID0166,C,F,F,F,C,medxpert,C,C,C,F
ID0168,B,B,B,B,B,mmlu,C,B,C,B
ID0169,B,B,B,A,B,jama,B,B,B,A
ID0170,<answer>Option (J)</answer>,J,G,D,D,medxpert,C,D,B,D
ID0172,D,C,D,C,D,jama,B,C,B,C
ID0177,B,B,B,B,B,medbullets,C,B,C,B
ID0182,A,A,A,D,D,medbullets,B,C,B,D
ID0184,C,C,C,C,C,mmlu,B,B,B,C
ID0185,D,D,D,D,D,medbullets,D,B,D,D
ID0186,C,C,C,C,C,jama,A,C,A,C
