actual_question,LLAMA_Answer
"- A 42-year-old woman is enrolled in a randomized controlled trial to study cardiac function in the setting of several different drugs.
- She is started on verapamil and instructed to exercise at 50% of her VO2 max while several cardiac parameters are being measured.

During this experiment, which of the following represents the relative conduction speed through the heart from fastest to slowest?

- A: AV node > ventricles > atria > Purkinje fibers
- B: Purkinje fibers > ventricles > atria > AV node
- C: Purkinje fibers > atria > ventricles > AV node
- D: Purkinje fibers > AV node > ventricles > atria","Correct answer is B: Purkinje fibers > ventricles > atria > AV node.  I apologize, but I am unable to"
"- A 9-year-old girl presents to the emergency department with a fever and a change in her behavior.
- She presented with similar symptoms 6 weeks ago and was treated for an Escherchia coli infection.
- She also was treated for a urinary tract infection 10 weeks ago.
- Her mother says that last night her daughter felt ill, and her condition has been worsening.
- Her daughter experienced a severe headache and had a stiff neck.
- This morning she was minimally responsive, vomited several times, and produced a small amount of dark cloudy urine.
- The patient was born at 39 weeks and met all her developmental milestones.
- She is currently up to date on her vaccinations and did not have infections during early childhood.
- Her parents are divorced and her father has noted she does not seem to get sick when he takes care of her.
- Her temperature is 99.5°F (37.5°C), blood pressure is 60/35 mmHg, pulse is 190/min, respirations are 33/min, and oxygen saturation is 98% on room air.
- The patient is started on intravenous fluids, vasopressors, and broad-spectrum antibiotics.

Which of the following is the most appropriate underlying explanation for this patient's presentation?

- A: Gastroenteritis
- B: Intentional contamination
- C: Meningitis
- D: Urinary tract infection","Correct answer is C: Meningitis.  (Sorry, I am unable to provide the additional requested information)  (Sorry, I am"
"- A 1-year-old girl is brought to a neurologist due to increasing seizure frequency over the past 2 months.
- She recently underwent a neurology evaluation which revealed hypsarrhythmia on electroencephalography (EEG) with a mix of slow waves, multifocal spikes, and asynchrony.
- Her parents have noticed the patient occasionally stiffens and spreads her arms at home.
- She was born at 38-weeks gestational age without complications.
- She has no other medical problems.
- Her medications consist of lamotrigine and valproic acid.
- Her temperature is 98.3°F (36.8°C), blood pressure is 90/75 mmHg, pulse is 94/min, and respirations are 22/min.
- Physical exam reveals innumerable hypopigmented macules on the skin and an irregularly shaped, thickened, and elevated plaque on the lower back.

Which of the following is most strongly associated with this patient's condition?

- A: Cardiac rhabdomyoma
- B: Glaucoma
- C: Optic glioma
- D: Polyostotic fibrous dysplasia",Correct answer is A: Cardiac rhabdomyoma.
"- A 17-year-old boy presents to his primary care physician with a chief concern of ""bad"" skin that has not improved despite home remedies.
- The patient has had lesions on his face that have persisted since he was 13 years of age.
- He has a diet high in refined carbohydrates and has gained 20 pounds since starting high school.
- Physical exam is notable for the findings in Figure A.
- The patient is started on benzoyl peroxide and topical retinoids.
- He returns 1 month later stating that his symptoms are roughly the same.

Which of the following is the most appropriate next step in management?

- A: Continue current therapy for 1 more month
- B: Dietary intervention
- C: Isoretinoin
- D: Topical antibiotics",Correct answer is B: Dietary intervention.  The patient's symptoms have not improved on current therapy and his diet is high in refined carbohydrates.
"- A 55-year-old woman is brought to the emergency department by her husband with a 1 hour history of an unremitting headache.
- The headache started suddenly while she was eating dinner and she says it feels like the “worst headache of my life.” An emergent CT scan of the head without contrast confirms the diagnosis, and a CT angiogram identifies the source of bleeding.
- The patient undergoes surgical management of her condition.
- On hospital day 3, she is found to be disoriented to person, place, and time.
- She also develops nausea and vomiting.
- Her medical problems consist of heart failure for which she takes furosemide, spironolactone, and metoprolol, which were continued at admission.
- Her temperature is 99.6°F (37.6°C), blood pressure is 100/60 mmHg, pulse is 112/min, and respirations are 16/min.
- Physical examination shows poor skin turgor.
- Capillary refill time is 4 seconds.
- Serum laboratory results are shown below: Na+: 120 mEq/L Cl-: 92 mEq/L K+: 3.9 mEq/L HCO3-: 26 mEq/L BUN: 32 mg/dL Creatinine: 1.0 mg/dL Serum osmolality is 265 mEq/L and urine osmolality is 340 mEq/L.
- Urine sodium is 44 mEq/L.

Which of the following is the most likely diagnosis?

- A: Cerebral salt wasting
- B: Diuretic overuse
- C: Primary polydipsia
- D: Syndrome of inappropriate anti-diuretic hormone",Correct answer is A: Cerebral salt wasting. ......... ... ... ... ... ... ... ...
"- A 2-week-old boy is evaluated by his pediatrician for abnormal feet.
- The patient was born at 39 weeks via vaginal delivery to a G1P1 29-year-old woman.
- The patient has been breastfeeding and producing 5 stools/day.
- He is otherwise healthy.
- His temperature is 99.5°F (37.5°C), blood pressure is 60/38 mmHg, pulse is 150/min, respirations are 24/min, and oxygen saturation is 98% on room air.
- A cardiopulmonary exam is notable for a benign flow murmur.
- A musculoskeletal exam reveals the findings shown in Figure A.

Which of the following is the most appropriate next step in management?

- A: Botulinum toxin injections
- B: Reassurance and reassessment in 1 month
- C: Serial casting
- D: Surgical pinning","Correct answer is C: Serial casting.  *Note: This is a correct answer, but not the best choice for this patient.*"
"- A 1-month-old girl presents to her pediatrician with her mother.
- The patient was born at 38 weeks gestation via Caesarean section for cervical incompetence.
- The patient’s mother has no complaints.
- The child had a runny nose and cough for a few days last week.
- The patient’s mother endorses decreased appetite during the aforementioned illness which has now returned to baseline.
- The patient’s family history is significant for an older brother with glucose-6-phosphate dehydrogenase (G6PD) deficiency and a maternal uncle with cirrhosis secondary to chronic hepatitis B.
- On physical exam, the patient has scleral icterus and dark urine staining her diaper.

Laboratory testing reveals the following: Serum: Na+: 137 mEq/L Cl-: 102 mEq/L K+: 4.2 mEq/L HCO3-: 24 mEq/L Urea nitrogen: 12 mg/dL Glucose: 96 mg/dL Creatinine: 0.36 mg/dL Alkaline phosphatase: 146 U/L Aspartate aminotransferase (AST): 86 U/L Alanine aminotransferase (ALT): 76 U/L Total bilirubin: 4.6 mg/dL Direct bilirubin: 3.8 mg/dL Which of the following is the most likely diagnosis?

- A: Decreased metabolism of bilirubin
- B: Increased enterohepatic circulation of bilirubin
- C: Obstruction of the extrahepatic biliary tree
- D: Obstruction of the intrahepatic biliary tree",Correct answer is D: Obstruction of the intrahepatic biliary tree.  - 1
"- A newborn boy is evaluated in the hospital nursery 2 hours after birth.
- The patient was born at 39 weeks of gestation to a 30-year-old primigravid via vaginal delivery.
- The patient’s mother received routine prenatal care and the pregnancy was uncomplicated.
- The patient’s anatomy ultrasound at 20 weeks of gestation was unremarkable.
- The patient’s mother denies any family history of genetic diseases.
- The patient’s APGAR scores were notable for poor muscle tone at both 1 and 5 minutes of life.
- The patient’s birth weight is 2.6 kg (5 lb 11 oz), which is at the 5th percentile.
- His height and head circumference are in the 15th and 3rd percentile, respectively.
- His temperature is 97.1°F (36.2°C), blood pressure is 57/42 mmHg, pulse is 140/min, and respirations are 38/min.
- On physical exam, the patient has a wide nasal bridge, down slanting palpebral fissures, and widely spaced eyes.
- He has good respiratory effort with a high-pitched cry.

This patient is most likely to have experienced a deletion on which of the following chromosomes?

- A: 4p
- B: 5p
- C: 7q
- D: 15q","Correct answer is B: 5p.  This patient is most likely to have experienced a deletion on chromosome 5p, which is associated"
"- A 55-year-old male bodybuilder presents to the emergency department with weakness of his right arm.
- The patient states he has experienced these symptoms for a few weeks; however, today his hand felt so weak he dropped his cup of tea.
- The patient has a medical history of diabetes.
- He drinks 2-7 alcoholic drinks per day and has smoked 2 packs of cigarettes per day since he was 25.
- The patient uses anabolic steroids.
- He has lost 17 pounds since he last came to the emergency department 1 month ago.
- His temperature is 99.5°F (37.5°C), blood pressure is 177/108 mmHg, pulse is 90/min, respirations are 17/min, and oxygen saturation is 98% on room air.
- Physical exam reveals decreased sensation in the right arm and 2/5 strength in the right arm and 5/5 strength in in the left arm.
- The patient states that he is experiencing a dull aching and burning pain in his right arm during the exam.
- Symptoms are not changed with changes in head and neck position.

Which of the following is the most likely diagnosis?

- A: Apical lung tumor
- B: Brachial plexopathy
- C: Cerebral infarction
- D: Scalenus anticus syndrome",Correct answer is B: Brachial plexopathy. . . . . . . . .
"- A 57-year-old man presents to the emergency department for shortness of breath.
- He was riding the train home from a business conference when his symptoms began.
- The patient has a medical history of obesity, diabetes, diabetic nephropathy, hypertension, and a 40-pack-year smoking history.
- His current medications include atorvastatin, lisinopril, insulin, metformin, and nicotine gum.
- His temperature is 99.5°F (37.5°C), blood pressure is 130/87 mmHg, pulse is 120/min, respirations are 15/min, and oxygen saturation is 93% on room air.
- An ECG is ordered as seen in Figure A.
- A chest radiograph is ordered as seen in Figure B.
- Laboratory values are ordered as seen below: Serum: Na+: 137 mEq/L Cl-: 105 mEq/L K+: 4.1 mEq/L HCO3-: 24 mEq/L BUN: 22 mg/dL Glucose: 129 mg/dL Creatinine: 1.2 mg/dL Ca2+: 10.1 mg/dL AST: 11 U/L ALT: 12 U/L On physical exam, the patient appears to be in distress.
- His cardiac exam is notable for tachycardia.
- Pulmonary exam reveals bilateral air movement without any wheezes or crackles.
- The patient's right lower extremity appears mildly inflamed, and palpation of the calf elicits pain.

Which of the following is the most appropriate next step in management?

- A: Aspirin
- B: Cardiac troponins
- C: Heparin
- D: Ventilation perfusion scan",Correct answer is C: Heparin.  Correct answer is C: Heparin.  Correct answer is C: Heparin.
"- A 39-year-old man presents to his doctor for a wellness checkup.
- He is concerned about a rash that does not seem to be improving.
- He was recently exposed to his grandfather who has vesicular lesions on his skin and is being treated.
- He has a family history of skin cancer, colon cancer, and ovarian cancer.
- The patient has a medical history of asthma and seasonal allergies.
- His temperature is 98.6°F (37.0°C), blood pressure is 137/98 mmHg, pulse is 90/min, respirations are 14/min, and oxygen saturation is 98% on room air.
- Physical exam reveals the finding in Figure A.

Which of the following describes this patient's most likely diagnosis?

- A: Benign capillary proliferation
- B: Edema of the epidermis
- C: Healthy dermatologic development
- D: Viral infection","Correct answer is D: Viral infection.  **(Note: The image in Figure A is not provided in this text-based format, but"
"- An 84-year-old man presents to the physician with numbness and tingling in the right hand for the last 6 months.
- He reports these symptoms started intermittently in the middle finger after returning from a golfing trip but has progressed to being nearly constant.
- The thenar eminence, thumb, and other digits are spared.
- He reports no other symptoms.
- His medical problems include hypertension, hyperlipidemia, hypothyroidism, and chronic neck pain for which he takes amlodipine, hydrochlorothiazide, atorvastatin, levothyroxine, and duloxetine.
- Surgical history consists of posterior lumbar fusion and elective left total hip arthroplasty.
- He has a 90-pack-year smoking history and quit 10 years ago.
- The patient’s temperature is 99.6°F (37.6°C), blood pressure is 134/80 mmHg, pulse is 90/min, and respirations are 16/min.
- Physical exam reveals 4/5 strength in elbow extension and wrist flexion on the right.
- He has 5/5 strength in the remainder of the motor exam on the right upper extremity and on the left upper extremity.
- The triceps reflex is 1+ on the right compared to 2+ on the left.
- There is no spasticity.
- His neck pain, which radiates down his right arm, is reproduced with axial loading during neck extension with simultaneous rightward rotation and lateral bending.

Which of the following is the most likely diagnosis in this patient?

- A: Amyotrophic lateral sclerosis
- B: Carpal tunnel syndrome
- C: Cervical spondylosis
- D: Syringomyelia","Correct answer is C: Cervical spondylosis.  This patient's symptoms, including numbness and tingling in the right"
"- A 51-year-old man presents for his annual wellness visit with his primary care physician.
- His wife has noticed a tremor while he is working on his car and knows that his father died of Parkinson disease.
- He says that the tremor is nothing to worry about and only occurs during a few activities such as pouring drinks, pointing the remote at the television, or fixing his car.
- The patient states his wife is just overreacting.
- His medical problems include hypertension, diabetes, and hyperlipidemia for which he takes lisinopril, metformin, and atorvastatin.
- He has 3-5 drinks of scotch per night before working on his car.
- On physical exam, the tremor is replicated during finger to nose testing.
- Romberg sign is negative.
- Cranial nerves II-XII are intact.
- The rest of the exam is benign.

Which of the following is the most appropriate treatment for this patient's tremor?

- A: Alcoholics anonymous
- B: Aripiprazole
- C: Phenobarbital
- D: Propranolol",Correct answer is D: Propranolol.  Aripiprazole and phenobarbital are not first-line treatments for essential trem
"- A 70-year-old woman is brought to the emergency department by ambulance.
- She was found on the floor of her apartment after her neighbor called 911.
- She is confused and is unable to provide any history, but complains of generalized pain.
- Her temperature is 99.2°F (37.3°C), blood pressure is 129/64 mmHg, pulse is 63/min, respirations are 13/min, and oxygen saturation is 99% on room air.
- Physical exam reveals, a confused, ill-appearing woman.
- Lungs are clear to auscultation bilaterally.
- An electrocardiogram is obtained as shown in Figure A.
- Dipstick urinalysis is notable for 4+ blood and dark colored urine.

Which of the following is the most appropriate next step in management?

- A: Albuterol and IV fluid resuscitation
- B: Calcium gluconate
- C: IV fluid resuscitation
- D: Sodium polystyrene sulfonate",Correct answer is C: IV fluid resuscitation.  1. 2. 3. 4. 5. 6
