model,subset,total_questions,relevant_only_correct,relevant_only_acc_pct,rerun_correct,rerun_acc_pct,delta_pct_pt
Qwen-72B,mmlu,192,164,85.42,160,83.33,-2.08
Qwen-72B,jama,295,176,59.66,155,52.54,-7.12
Qwen-72B,medxpert,286,74,25.87,61,21.33,-4.55
Qwen-72B,medbullets,160,113,70.62,107,66.88,-3.75
Qwen-72B,ALL,933,527,56.48,483,51.77,-4.72
Qwen-14B,mmlu,192,167,86.98,155,80.73,-6.25
Qwen-14B,jama,295,203,68.81,171,57.97,-10.85
Qwen-14B,medxpert,286,65,22.73,50,17.48,-5.24
Qwen-14B,medbullets,160,99,61.88,88,55.0,-6.88
Qwen-14B,ALL,933,534,57.23,464,49.73,-7.5
Llama-70B,mmlu,192,153,79.69,147,76.56,-3.12
Llama-70B,jama,295,186,63.05,160,54.24,-8.81
Llama-70B,medxpert,286,73,25.52,53,18.53,-6.99
Llama-70B,medbullets,160,95,59.38,88,55.0,-4.38
Llama-70B,ALL,933,507,54.34,448,48.02,-6.32
MedGemma-27B,mmlu,192,104,54.17,41,21.35,-32.81
MedGemma-27B,jama,295,39,13.22,7,2.37,-10.85
MedGemma-27B,medxpert,286,38,13.29,7,2.45,-10.84
MedGemma-27B,medbullets,160,69,43.12,31,19.38,-23.75
MedGemma-27B,ALL,933,250,26.8,86,9.22,-17.58
GPT4o,mmlu,192,185,96.35,97,50.52,-45.83
GPT4o,jama,295,242,82.03,127,43.05,-38.98
GPT4o,medxpert,286,124,43.36,65,22.73,-20.63
GPT4o,medbullets,160,139,86.88,73,45.62,-41.25
GPT4o,ALL,933,690,73.95,362,38.8,-35.16
GPT 5,mmlu,192,189,98.44,162,84.38,-14.06
GPT 5,jama,295,259,87.8,222,75.25,-12.54
GPT 5,medxpert,286,205,71.68,175,61.19,-10.49
GPT 5,medbullets,160,152,95.0,130,81.25,-13.75
GPT 5,ALL,933,805,86.28,689,73.85,-12.43
