Sentence_x,sentence_ID,Original_Position,Score,Source,row_index,QA_ID,Extracted_Answer,Sentence_y,sentence_ID_x,sentence_ID_y
A 37-year-old woman presents to her physician for mood changes and recent falls over the course of 3 months.,0,6,17.635852646459227,A 37-year-old woman presents to her physician for mood changes and recent falls over the course of 3 months.,93,MedBullets df_op4 Q94,,She has been in a monogamous relationship with her husband for the last 15 years and uses a copper intrauterine device.,6,6
She feels more irritable with her husband and children and does not find pleasure in creating art anymore.,1,7,3.660487504720413,She feels more irritable with her husband and children and does not find pleasure in creating art anymore.,93,MedBullets df_op4 Q94,,Physical examination is notable for a depressed affect.,7,7
"Over the last 2 weeks, she has been sleeping approximately 5 hours a night and had a fall while walking in her home with the lights off.",2,0,56.206219263374805,"Over the last 2 weeks, she has been sleeping approximately 5 hours a night and had a fall while walking in her home with the lights off.",93,MedBullets df_op4 Q94,,A 37-year-old woman presents to her physician for mood changes and recent falls over the course of 3 months.,0,0
She denies any head trauma or loss of consciousness associated with the fall.,3,8,0.6589520661250285,She denies any head trauma or loss of consciousness associated with the fall.,93,MedBullets df_op4 Q94,,"Pupils are equal, round, and reactive to light and accommodation.",8,8
She has a medical history of generalized anxiety disorder and hypothyroidism for which she takes escitalopram and levothyroxine.,4,2,29.16701092201144,She has a medical history of generalized anxiety disorder and hypothyroidism for which she takes escitalopram and levothyroxine.,93,MedBullets df_op4 Q94,,"Over the last 2 weeks, she has been sleeping approximately 5 hours a night and had a fall while walking in her home with the lights off.",2,2
She had a Roux-en-Y gastric bypass 5 years ago.,5,5,24.53594259843989,She had a Roux-en-Y gastric bypass 5 years ago.,93,MedBullets df_op4 Q94,,She had a Roux-en-Y gastric bypass 5 years ago.,5,5
She has been in a monogamous relationship with her husband for the last 15 years and uses a copper intrauterine device.,6,1,44.519599352207344,She has been in a monogamous relationship with her husband for the last 15 years and uses a copper intrauterine device.,93,MedBullets df_op4 Q94,,She feels more irritable with her husband and children and does not find pleasure in creating art anymore.,1,1
Physical examination is notable for a depressed affect.,7,9,0.0,Physical examination is notable for a depressed affect.,93,MedBullets df_op4 Q94,,She has 4/5 strength in the bilateral lower extremities and brisk patellar reflexes.,9,9
"Pupils are equal, round, and reactive to light and accommodation.",8,4,25.42196992006165,"Pupils are equal, round, and reactive to light and accommodation.",93,MedBullets df_op4 Q94,,She has a medical history of generalized anxiety disorder and hypothyroidism for which she takes escitalopram and levothyroxine.,4,4
She has 4/5 strength in the bilateral lower extremities and brisk patellar reflexes.,9,3,26.94166968119831,She has 4/5 strength in the bilateral lower extremities and brisk patellar reflexes.,93,MedBullets df_op4 Q94,,She denies any head trauma or loss of consciousness associated with the fall.,3,3
