Origin,Qwen72B_High_Relevance,question_options,data_source_corr_x,Correct answer
ID0002,"1. A woman in her 60s with a history of hyperlipidemia, hypothyroidism, and chronic migraines presented with 9 months of progressively worsening left-sided ptosis, which was more notable at night and with fatigue. 4. External examination was notable for left upper eyelid ptosis (Figure 1), with a margin-to-reflex distance 1 of 3.5 mm on the right and 0.5 mm on the left, intact levator function, and no fatiguability on sustained upgaze. 11. Serological testing results for antiacetylcholine receptor antibody were negative.","What Would You Do Next?

A: Perform left upper eyelid ptosis repair  
B: Request single-fiber electromyography  
C: Biopsy the left levator palpebrae superioris  
D: Obtain orbital imaging with intravenous contrast",jama,D
ID0003,"6. Chest auscultation is unremarkable, but a chest X-ray reveals bilateral multifocal opacities in the lungs. 7. Sputum culture and Gram stain are negative.","Which of the following components is essential for culturing the most likely causative organism?

A. Iron  
B. Urea  
C. Magnesium  
D. Cysteine  
E. Glucose  
F. Nicotinamide  
G. Cholesterol  
H. Hemin  
I. Sulfate  
J. Pyridoxine",medxpert,G
ID0010,"5. Examination reveals pulsatile bleeding from a clean-cut wound at the distal interphalangeal joint of the right second finger.   7. The amputated finger was left in the classroom, but the principal is bringing it to the hospital.","What is the proper method for transporting the amputated finger?

A. Wrap the finger in moist gauze and place in a plastic bag  
B. Rinse the finger with hydrogen peroxide, wrap the finger in moist gauze, and place on ice  
C. Rinse the finger with tap water, wrap in moist gauze, and place directly on ice  
D. Wrap the finger in dry gauze, place in a plastic bag, and submerge the bag in ice water  
E. Rinse the finger in sterile water, wrap in dry gauze, and place directly on ice  
F. Submerge the finger in sterile saline and place the container on ice  
G. Place the finger in a sealed plastic bag without rinsing and keep it on ice  
H. Rinse the finger in normal saline, wrap the finger in moist gauze, put in a plastic bag, and place the bag in ice water  
I. Rinse the finger in normal saline, place in a dry plastic container, and keep at room temperature  
J. Submerge the finger directly in ice water",medxpert,H
ID0013,1. A 3-year-old white girl is brought to the office by her parents for a follow-up visit 48 hours after receiving a 5-TU PPD skin test. 3. Physical examination shows 10 mm of induration at the puncture site; the examination is otherwise normal.,"Which of the following is the most appropriate step at this time?

A. Call her previous physician to obtain more history

B. Order a chest x-ray

C. Order a test for HIV antibody

D. Repeat the PPD skin test",mmlu,B
ID0016,"2. On examination, his visual acuity was counting fingers at 3 ft OD and 20/20 OS. 3. A slitlamp examination of the right eye revealed conjunctival hyperemia, nongranulomatous keratic precipitates in the inferior half of the corneal endothelium, and 3+ cells in the anterior chamber, while results of a dilated fundus examination showed 1+ vitritis, 360° of optic nerve swelling, intraretinal hemorrhages predominantly along the distribution of the retinal arteries and arterioles, and perivascular sheathing, as well as macula involving retinal whitening, thickening, and subretinal fluid (Figure, A). 4. Fluorescein angiography revealed late vascular leakage with both arterial and venous involvement (Figure, B) and peripheral ischemia. 6. B, Fluorescein angiograph shows arterial and venous vasculitis and peripheral ischemia.","What Would You Do Next?

A: Initiate uveitis workup and start topical corticosteroid therapy  
B: Obtain aqueous sample through needle aspirate for viral polymerase chain reaction, and start intravitreal and systemic antiviral therapy  
C: Perform a lumbar puncture  
D: Perform pars plana vitrectomy",jama,B
ID0018,"1. A 74-year-old man with an ocular history of bilateral cataract extraction 9 years prior and left inferior rectus muscle recession 3 months before this current evaluation for 2 months of severe, progressive pain, redness, and decreased visual acuity in the left eye.   2. After strabismus surgery, he was noted to have a nonhealing conjunctival epithelial defect inferiorly, which later developed underlying scleral thinning.   3. He was being treated with topical moxifloxacin, 0.5%, every 2 hours in the left eye.   6. His best-corrected visual acuity was 20/20 OD and counting fingers OS, and his intraocular pressures were 13 mm Hg OD and 4 mm Hg OS.   7. Slitlamp examination of the left eye revealed marked inferior redness, including large-caliber episcleral vessels and scleral thinning that was greatest inferonasally (Figure 1A).   8. There was an epithelial defect overlying the thinned sclera, scleral tenderness to palpation, 16 to 25 cells per high-power field in the anterior chamber, and iris neovascularization.   9. The view to the posterior pole was hazy, and B-scan ultrasonography revealed an inferior retinal detachment (Figure 1B).  ","What Would You Do Next?

A: Give fortified antibiotics  
B: Give topical steroids and cycloplegia  
C: Provide systemic corticosteroids and outpatient follow-up  
D: Initiate admission, high-dose systemic steroids, and a rheumatology consult",jama,D
ID0021,"2. He presented with a 2-day history of painful, left-sided vesicular rash around his eyelid and forehead. 4. His pediatrician prescribed oral acyclovir and ibuprofen as needed for pain. 6. On examination, clear vesicles on erythematous bases were noted in the V1 distribution with left upper eyelid edema and erythema. 9. Anterior examination was significant for left-sided conjunctivitis, dendritic keratitis (Figure), and anterior uveitis. 11. Slitlamp photograph showing branching corneal pseudodendrites with minimal fluorescein uptake.","What Would You Do Next?

A: Obtain a corneal culture  
B: Human immunodeficiency virus testing and lymphocyte analysis  
C: Discontinue oral acyclovir and start topical trifluridine  
D: Perform corneal topography",jama,B
ID0024,4. An endometrial biopsy specimen shows regular tubular endometrial glands with abundant mitotic figures in the endometrial glands and stroma.,"Which of the following proteins or enzymes regulate the progression of cells into this phase of this patient's menstrual cycle?

A. AMP-dependent kinases

B. Cyclin-dependent kinases

C. Hexokinases

D. Lipid kinases",mmlu,B
ID0025,"3. Physical examination reveals a prominent left transverse process that becomes more noticeable during flexion. 4. The affected vertebra's spinous process is palpable midway between the T6 and T7 transverse processes. 5. After diagnosing a T6 extended, rotated left, sidebent left somatic dysfunction, you decide to proceed with facilitated positional release (FPR).","Following the initial steps of straightening the spinal curve and applying an activating force, what is the next appropriate step in the FPR technique?

A. active extension with right sidebending and right rotation  
B. passive flexion with right sidebending and right rotation  
C. passive flexion with left sidebending and right rotation  
D. passive extension with neutral sidebending and left rotation  
E. passive neutral position with left sidebending and left rotation  
F. passive extension with left sidebending and left rotation  
G. passive flexion with left sidebending and left rotation  
H. active flexion with left sidebending and left rotation  
I. passive extension with right sidebending and left rotation  
J. passive extension with left sidebending and neutral rotation",medxpert,F
ID0027,1. A 47-year-old man comes to the physician 12 hours after the sudden onset of a severe occipital headache and stiff neck.   7. Range of motion of the neck is decreased due to pain.  ,"Which of the following is the most likely diagnosis?

A. Cluster headache

B. Meningitis

C. Migraine

D. Subarachnoid hemorrhage",mmlu,D
