Origin,Sentence 1,Sentence 2,Sentence 3,Sentence 4,Sentence 5,Sentence 6,Sentence 7,Sentence 8,Sentence 9,Sentence 10,Sentence 11,Sentence 12,Sentence 13,Sentence 14,Sentence 15,Sentence 16,Sentence 17,Sentence 18,Sentence 19,Sentence 20,Sentence 21,data_source_corr,IRR,high%,Clinician_Student_MJ_High_Sentences,answerable
ID0007,0.8333333333333334,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.5,0.3333333333333333,,,,,,,,,,,,,,,medbullets,-0.4736842105263155,71.4,"1. A 72-year-old man presents to his primary care physician with weakness. | 2. He has felt very weak every morning with his symptoms persisting throughout the day. | 3. He notes minor improvement when he rides his bike but otherwise has not noticed any change in his symptoms with rest or ibuprofen use. | 4. The patient has lost 12 pounds recently and has had a chronic cough. | 5. The patient lives alone and drinks 7 alcoholic beverages per day and smokes 1-2 packs of cigarettes per day for the past 40 years. | 6. His temperature is 99.5°F (37.5°C), blood pressure is 177/108 mmHg, pulse is 93/min, respirations are 17/min, and oxygen saturation is 92% on room air.",no
ID0009,0.8333333333333334,1.0,0.6666666666666666,0.6666666666666666,1.0,1.0,0.3333333333333333,0.5,,,,,,,,,,,,,,jama,0.3333333333333333,75.0,"1. A woman in her 30s presented with multiple discrete and clustered blue papules on her face and extremities. | 2. The lesions had been present since childhood, but the size of the lesions and the intensity of pain associated with them had recently increased with even light touch causing paroxysms of pain. | 3. The pain associated with these papules worsened as the day progressed, and she could not tolerate elastic compression due to excessive pain on compression. | 4. Her medical and family histories were unremarkable. | 5. Physical examination revealed multiple discrete and agminated blue papules on the face, arms, hands, and thighs with a cobblestoned appearance (Figure 1). | 6. On palpation, the papules were exquisitely tender and partially compressible. | 8. Clinically, multiple discrete and agminated blue papules are apparent, nodular, blue cutaneous lesions cobblestone-like in appearance, on the thigh (A) and hand and thigh (B).",no
ID0015,1.0,0.875,0.5,0.875,0.75,1.0,0.5,0.5,0.375,0.3333333333333333,,,,,,,,,,,,jama,0.5433759652509651,50.0,"1. A 60-year-old man with a history of IgA kappa multiple myeloma was referred to our department. | 2. He had been diagnosed with multiple myeloma 2 years earlier after discovery of osteolytic bone lesions of the skull and the findings of a bone marrow biopsy. | 3. The patient had been treated with bortezomib and dexamethasone followed by autologous blood progenitor cell transplantation, which resulted in complete response. | 4. At the time of the consultation, he was free of disease.The patient was referred for evaluation of an indolent, erythematous papule on his glans penis of 2 weeks’ duration. | 5. He denied sexual risk behavior and reported no recent changes in medication. | 6. Careful physical examination revealed a shiny, tense, erythematous, hemispherical papule measuring 5 mm in diameter located on the lateral aspect of the glans (Figure 1A). | 7. There were no other skin lesions. | 8. The lymph nodes were not palpable, and there was no organomegaly.",no
ID0017,0.875,0.875,0.875,1.0,0.75,0.25,,,,,,,,,,,,,,,,jama,0.2307692307692307,83.3,"1. A man in his 60s with a known history of a large cyst on the right kidney sustained blunt trauma in a skiing crash. | 2. Computed tomography (CT) showed a right-sided grade IV renal injury involving his known renal cyst with active arterial extravasation (Figure, A). | 3. The patient underwent selective angioembolization of the renal laceration.A, Abdominal computed tomography (CT) with contrast demonstrating grade IV laceration of the right kidney and active extravasation. | 4. B, Abdominal CT obtained on day 2 of hospitalization showing large right-sided retroperitoneal hematoma and grade IV renal laceration displacing the patient’s abdominal viscera to the left, with contrast-filled structure medial to the liver.In the 24 hours after embolization, the patient required 2 U of red blood cells via transfusion for anemia. | 5. On examination, the patient reported moderate pain in the abdomen and right side and demonstrated a distended abdomen in the absence of any peritoneal signs.",no
ID0030,0.8333333333333334,1.0,1.0,0.8333333333333334,1.0,0.5,0.8333333333333334,0.3333333333333333,0.3333333333333333,0.5,1.0,0.5,0.8333333333333334,0.5,0.6666666666666666,,,,,,,jama,0.2105263157894736,60.0,"1. The patient is a 48-year-old man with a history of a rectal adenocarcinoma (cT3N2bM0) diagnosed 9 years prior. | 2. Following neoadjuvant chemoradiotherapy, low anterior resection, and 6 cycles of adjuvant FOLFOX therapy (fluorouracil, leucovorin, and oxaliplatin), he had developed a lung metastasis (KRAS wild type) 1 year later. | 3. He subsequently developed multiple lung metastases treated with palliative local interventions (lobectomy, radiofrequency ablation) and 4 lines of chemotherapy. | 4. Owing to symptomatic lung disease, he was enrolled in a clinical trial (NCT03502733) following informed consent and achieved a confirmed partial response. | 5. After 9 months, contrast computed tomography restaging scans noted a new, 1-cm posterior subglottic lesion of unclear origin (Figure, A). | 6. He had no shortness of breath or noisy breathing, dysphagia, voice change, or hemoptysis. | 7. A partial response was maintained without evidence of progression of lung disease.A, An axial computed tomographic image reveals a new posterior subglottic lesion (pink arrowhead) of unclear etiology. | 10. The differential diagnosis based on imaging included a mass vs inspissated mucus. | 11. Examination using distal-chip flexible laryngoscopy revealed a 1-cm, broad-based, exophytic mass along the posterior wall of the subglottis with prominent vasculature. | 12. No other anatomic abnormalities in the upper aerodigestive tract or cervical lymphadenopathy were noted. | 13. The decision was made to proceed to the operating room for definitive endoscopic biopsy under general anesthesia (Figure, B). | 14. Examination revealed a subglottic mass that did not extend inferiorly beyond the caudal aspect of the cricoid cartilage. | 15. The mass was debulked and sent to pathology for analysis, including hematoxylin-eosin and immunohistochemical staining (Figure, C).",no
ID0043,1.0,1.0,0.5,0.6666666666666666,1.0,0.6666666666666666,1.0,0.8333333333333334,,,,,,,,,,,,,,jama,-0.0434782608695651,87.5,"1. A black woman in her 50s presented to the clinic with a 3-month history of nontender mildly pruritic verrucous nodules in several areas of a polychromatic tattoo on her right lower leg and foot. | 2. She reported that these appeared 1 to 2 months following placement of the tattoo and were restricted to areas where the artist created pink zones by layering white ink over red ink. | 3. She denied pain, fevers, and chills and had no history of skin cancer. | 4. She reported a distant history of discoid lupus, and was taking 2 antihypertensives but no other oral or topical medications. | 5. Physical examination revealed well-demarcated erythematous to violaceous verrucous nodules on the right lateral leg and dorsal foot (Figure 1A). | 6. A punch biopsy specimen from a representative nodule was obtained, with an additional biopsy for tissue culture (Figure 1B). | 7. A, Verrucous nodules are restricted to zones of pink pigment within the tattoo, sparing other colors present. | 8. B, Histologic reaction pattern from punch biopsy specimen of right lower leg nodule (hematoxylin-eosin, original magnification ×4).",no
ID0044,0.875,0.625,0.5,0.5,0.5,1.0,0.5,0.875,0.625,0.5,0.25,0.625,1.0,,,,,,,,,jama,0.2177210618190574,53.8,"1. An otherwise healthy adult man presented with left upper eyelid swelling for 2 days. | 2. This was accompanied by foreign-body sensation and discomfort of the left eye and was preceded by a week of general malaise without fevers or chills. | 3. He denied vision changes, light sensitivity, or drainage from the eye. | 4. He denied previous similar episodes of eyelid swelling or recurrent chalazia. | 5. He had no relevant medical history and his family history was negative for malignancy. | 6. Clinical examination revealed an area of ulceration centrally along the left upper eyelid margin, measuring approximately 8 mm × 2 mm (Figure 1A). | 7. The eyelid demonstrated mild boggy edema; however, there were no associated nodules, vesicles, or plaques on the surrounding skin or face. | 8. There was mild madarosis in the area of ulceration. | 9. There was also a tender and enlarged preauricular lymph node on the ipsilateral side. | 10. The remainder of the clinical examination was unremarkable, including visual acuity, intraocular pressure, slitlamp biomicroscopy, and dilated fundus examination. | 12. A, External photograph of the left eye demonstrating central upper eyelid margin ulceration with sparse lashes and surrounding edema. | 13. B, Incisional biopsy reveals a necrotic epithelium with multinucleated keratinocytes and cytoplasmic inclusions (hematoxylin-eosin, ×200).",no
ID0049,1.0,0.875,0.625,0.625,0.25,0.625,0.625,1.0,0.625,0.625,0.5,0.875,,,,,,,,,,jama,-0.0169491525423732,83.3,"1. A previously healthy 13-year-old boy presented to an optometrist 2 days after the onset of blurred vision in his left eye. | 2. His best-corrected visual acuity was 20/20 OD and 20/200 OS. | 3. Findings on pupillary, motility, and slitlamp examination of the anterior segment were unremarkable. | 4. Findings on dilated fundus examination of the right eye were normal. | 6. The patient’s history was negative for travel, recent vaccinations, or systemic illnesses. | 7. He denied having fever, nausea, headache, or other influenzalike symptoms.A, Unilateral isolated disc edema at initial presentation. | 8. B, Development of macular edema with exudates 1 week after initial presentation.Findings on magnetic resonance imaging of the brain and orbits showed subtle enhancement of the left optic nerve. | 9. No masses or demyelinating lesions were found.One week later, he presented to the ophthalmology office. | 10. His best-corrected visual acuity had improved to 20/40 OS. | 11. His examination was notable for the fundus finding shown in Figure 1B. | 12. The patient reported exposure to cats at home but had no recollection of direct trauma.",no
ID0052,0.875,0.8,0.7,0.8,0.9,0.6,,,,,,,,,,,,,,,,jama,-0.1962912709181361,100.0,"1. A man in his 70s presented to the clinic with a split in the right fifth fingernail for the past 10 years. | 2. He reported paroxysmal, intermittent pain that was exacerbated by cold weather. | 3. He fractured the digit more than 30 years earlier. | 4. Physical examination revealed distal nail plate splitting with accompanying longitudinal erythronychia (Figure, A) and tenderness on palpation of the nail unit. | 5. Magnetic resonance imaging revealed a nail matrix lesion (Figure, B), which was excised using a transungual approach with partial nail avulsion. | 6. The specimen was analyzed by histopathology (Figure, C and D).",no
ID0053,1.0,0.5,0.5,0.5,0.5,1.0,1.0,,,,,,,,,,,,,,,medxpert,1.0,42.9,"1. A 33-year-old woman presents with left ankle pain and swelling that has persisted for 4 days following a fall down the stairs after missing a step. | 2. She reports being able to move slowly but is concerned because the pain has not improved despite taking acetaminophen. | 3. Her medical history is unremarkable, and she takes only an oral contraceptive. | 4. She is 173 cm (5 ft 8 in) tall, weighs 74 kg (163 lb), and has a BMI of 25 kg/m². | 5. Vital signs are within normal limits. | 6. On physical examination, there is moderate swelling of the left ankle and tenderness along the anterior edge of the lateral malleolus. | 7. Range of motion is limited due to pain, but the left dorsalis pedis pulse is 2+, and she can walk without a limp.",no
